# W [GeV]    S_gg [GeV^-1]
1.000000e+01    2.223266e-03
1.015366e+01    2.181076e-03
1.030968e+01    2.139117e-03
1.046809e+01    2.093903e-03
1.062894e+01    2.051726e-03
1.079226e+01    2.010049e-03
1.095810e+01    1.970773e-03
1.112648e+01    1.929396e-03
1.129744e+01    1.892338e-03
1.147104e+01    1.852859e-03
1.164730e+01    1.816657e-03
1.182627e+01    1.780485e-03
1.200799e+01    1.744154e-03
1.219250e+01    1.708278e-03
1.237985e+01    1.673371e-03
1.257007e+01    1.639346e-03
1.295934e+01    1.574056e-03
1.315847e+01    1.541828e-03
1.336066e+01    1.509797e-03
1.356595e+01    1.478161e-03
1.377440e+01    1.448039e-03
1.398606e+01    1.420136e-03
1.441917e+01    1.362239e-03
1.464074e+01    1.334539e-03
1.486570e+01    1.306929e-03
1.556155e+01    1.228095e-03
1.604346e+01    1.177439e-03
1.654029e+01    1.129281e-03
1.679444e+01    1.105702e-03
1.705250e+01    1.082950e-03
1.731453e+01    1.060390e-03
1.758058e+01    1.038027e-03
1.785072e+01    1.016922e-03
1.812501e+01    9.963822e-04
1.840351e+01    9.737562e-04
1.868629e+01    9.544381e-04
1.956099e+01    8.946990e-04
1.986155e+01    8.766457e-04
2.047662e+01    8.402289e-04
2.079126e+01    8.222641e-04
2.111073e+01    8.050537e-04
2.143512e+01    7.869996e-04
2.209891e+01    7.545378e-04
2.243848e+01    7.387048e-04
2.278326e+01    7.231117e-04
2.313334e+01    7.076718e-04
2.348881e+01    6.927083e-04
2.384973e+01    6.774846e-04
2.458830e+01    6.486587e-04
2.534974e+01    6.214931e-04
2.613476e+01    5.948195e-04
2.653634e+01    5.815100e-04
2.694409e+01    5.691988e-04
2.735811e+01    5.569274e-04
2.777849e+01    5.445852e-04
2.820533e+01    5.331791e-04
2.863872e+01    5.218131e-04
2.907878e+01    5.099715e-04
2.952560e+01    4.987340e-04
2.997928e+01    4.880160e-04
3.043993e+01    4.771951e-04
3.138259e+01    4.566517e-04
3.186480e+01    4.464957e-04
3.235443e+01    4.369080e-04
3.285158e+01    4.272072e-04
3.386892e+01    4.081173e-04
3.438934e+01    3.990926e-04
3.491776e+01    3.901435e-04
3.545430e+01    3.816125e-04
3.599908e+01    3.730121e-04
3.655223e+01    3.648134e-04
3.711389e+01    3.565437e-04
3.826321e+01    3.404553e-04
3.885116e+01    3.331223e-04
3.944814e+01    3.253677e-04
4.066975e+01    3.108639e-04
4.192920e+01    2.968512e-04
4.257347e+01    2.900812e-04
4.389187e+01    2.768931e-04
4.456630e+01    2.706302e-04
4.525110e+01    2.645863e-04
4.665242e+01    2.524484e-04
4.809713e+01    2.410889e-04
4.883618e+01    2.353184e-04
4.958659e+01    2.300775e-04
5.034853e+01    2.244936e-04
5.112217e+01    2.193923e-04
5.190770e+01    2.142149e-04
5.270530e+01    2.091684e-04
5.433746e+01    1.995921e-04
5.688096e+01    1.859229e-04
5.775498e+01    1.814517e-04
5.864242e+01    1.771703e-04
5.954351e+01    1.730124e-04
6.233070e+01    1.609587e-04
6.328846e+01    1.572120e-04
6.426093e+01    1.535693e-04
6.524835e+01    1.497846e-04
6.625094e+01    1.461753e-04
6.726894e+01    1.426436e-04
6.830258e+01    1.392695e-04
6.935210e+01    1.358621e-04
7.149977e+01    1.293748e-04
7.371395e+01    1.231987e-04
7.484662e+01    1.202311e-04
7.599669e+01    1.173160e-04
7.716444e+01    1.144558e-04
7.835013e+01    1.116524e-04
7.955404e+01    1.089250e-04
8.201764e+01    1.036069e-04
8.327791e+01    1.010538e-04
8.455754e+01    9.860568e-05
8.585683e+01    9.612323e-05
8.717608e+01    9.380782e-05
8.851561e+01    9.143004e-05
8.987572e+01    8.915058e-05
9.125673e+01    8.690630e-05
9.408273e+01    8.269109e-05
9.699626e+01    7.861291e-05
9.848668e+01    7.665469e-05
1.000000e+02    7.468901e-05
1.015366e+02    7.280915e-05
1.030968e+02    7.102711e-05
1.046809e+02    6.915462e-05
1.062894e+02    6.744762e-05
1.079226e+02    6.573477e-05
1.095810e+02    6.404111e-05
1.112648e+02    6.244209e-05
1.129744e+02    6.086644e-05
1.147104e+02    5.929693e-05
1.164730e+02    5.778415e-05
1.182627e+02    5.629372e-05
1.219250e+02    5.341799e-05
1.237985e+02    5.204801e-05
1.257007e+02    5.070150e-05
1.295934e+02    4.811975e-05
1.315847e+02    4.686699e-05
1.336066e+02    4.563793e-05
1.356595e+02    4.444951e-05
1.377440e+02    4.327899e-05
1.398606e+02    4.217060e-05
1.420097e+02    4.105470e-05
1.464074e+02    3.890026e-05
1.509413e+02    3.690942e-05
1.532606e+02    3.590609e-05
1.556155e+02    3.495148e-05
1.580067e+02    3.400783e-05
1.604346e+02    3.311074e-05
1.628998e+02    3.222672e-05
1.679444e+02    3.051796e-05
1.705250e+02    2.970037e-05
1.731453e+02    2.889714e-05
1.758058e+02    2.811510e-05
1.785072e+02    2.736027e-05
1.812501e+02    2.661346e-05
1.868629e+02    2.518332e-05
1.897342e+02    2.449653e-05
1.926496e+02    2.381618e-05
1.956099e+02    2.316897e-05
1.986155e+02    2.253274e-05
2.016674e+02    2.191214e-05
2.047662e+02    2.131993e-05
2.079126e+02    2.071721e-05
2.111073e+02    2.014224e-05
2.143512e+02    1.958069e-05
2.176448e+02    1.903574e-05
2.209891e+02    1.849681e-05
2.243848e+02    1.798412e-05
2.313334e+02    1.698120e-05
2.348881e+02    1.650831e-05
2.384973e+02    1.603610e-05
2.421620e+02    1.557960e-05
2.458830e+02    1.513778e-05
2.496612e+02    1.470909e-05
2.534974e+02    1.428991e-05
2.573926e+02    1.387577e-05
2.613476e+02    1.347423e-05
2.653634e+02    1.309140e-05
2.694409e+02    1.271519e-05
2.735811e+02    1.234960e-05
2.777849e+02    1.198655e-05
2.820533e+02    1.163718e-05
2.863872e+02    1.129309e-05
2.907878e+02    1.096709e-05
2.952560e+02    1.064925e-05
2.997928e+02    1.032609e-05
3.090767e+02    9.730518e-06
3.138259e+02    9.445169e-06
3.186480e+02    9.159180e-06
3.235443e+02    8.886325e-06
3.285158e+02    8.622676e-06
3.335637e+02    8.357361e-06
3.386892e+02    8.110602e-06
3.438934e+02    7.865990e-06
3.545430e+02    7.397217e-06
3.599908e+02    7.169626e-06
3.768417e+02    6.528155e-06
3.826321e+02    6.331821e-06
3.885116e+02    6.134068e-06
3.944814e+02    5.942564e-06
4.066975e+02    5.580902e-06
4.129467e+02    5.405251e-06
4.192920e+02    5.235048e-06
4.257347e+02    5.071187e-06
4.322765e+02    4.910723e-06
4.389187e+02    4.753961e-06
4.456630e+02    4.601941e-06
4.525110e+02    4.456378e-06
4.594642e+02    4.313078e-06
4.665242e+02    4.173407e-06
4.809713e+02    3.907940e-06
4.958659e+02    3.658030e-06
5.034853e+02    3.539078e-06
5.112217e+02    3.420898e-06
5.190770e+02    3.309123e-06
5.270530e+02    3.199632e-06
5.351516e+02    3.091721e-06
5.602016e+02    2.792074e-06
5.688096e+02    2.698682e-06
5.775498e+02    2.606711e-06
5.864242e+02    2.518544e-06
5.954351e+02    2.432840e-06
6.045844e+02    2.349381e-06
6.138743e+02    2.267758e-06
6.233070e+02    2.190541e-06
6.328846e+02    2.113820e-06
6.426093e+02    2.041212e-06
6.524835e+02    1.969575e-06
6.625094e+02    1.899604e-06
6.830258e+02    1.768742e-06
6.935210e+02    1.705179e-06
7.041775e+02    1.643707e-06
7.149977e+02    1.585007e-06
7.259842e+02    1.527566e-06
7.371395e+02    1.472121e-06
7.484662e+02    1.419388e-06
7.716444e+02    1.316978e-06
