# W [GeV]    S_gg [GeV^-1]
1.000000e+01    2.163048e-03
1.015366e+01    2.117268e-03
1.030968e+01    2.069785e-03
1.046809e+01    2.028124e-03
1.062894e+01    1.986692e-03
1.079226e+01    1.945639e-03
1.095810e+01    1.903308e-03
1.112648e+01    1.864694e-03
1.129744e+01    1.825076e-03
1.147104e+01    1.788107e-03
1.182627e+01    1.714883e-03
1.200799e+01    1.676564e-03
1.276322e+01    1.540090e-03
1.295934e+01    1.506703e-03
1.315847e+01    1.474111e-03
1.336066e+01    1.444669e-03
1.356595e+01    1.413108e-03
1.377440e+01    1.384284e-03
1.398606e+01    1.354323e-03
1.464074e+01    1.268348e-03
1.486570e+01    1.241406e-03
1.532606e+01    1.186892e-03
1.580067e+01    1.137958e-03
1.604346e+01    1.111867e-03
1.628998e+01    1.089110e-03
1.654029e+01    1.065045e-03
1.679444e+01    1.042164e-03
1.705250e+01    1.018778e-03
1.731453e+01    9.972133e-04
1.758058e+01    9.755056e-04
1.785072e+01    9.538896e-04
1.812501e+01    9.329193e-04
1.840351e+01    9.125620e-04
1.868629e+01    8.927236e-04
1.897342e+01    8.736489e-04
1.926496e+01    8.546929e-04
1.956099e+01    8.359657e-04
1.986155e+01    8.176481e-04
2.016674e+01    7.982410e-04
2.047662e+01    7.815115e-04
2.079126e+01    7.640844e-04
2.111073e+01    7.470104e-04
2.143512e+01    7.302171e-04
2.176448e+01    7.140783e-04
2.209891e+01    6.982373e-04
2.243848e+01    6.826177e-04
2.278326e+01    6.673621e-04
2.313334e+01    6.527090e-04
2.348881e+01    6.377672e-04
2.384973e+01    6.237212e-04
2.421620e+01    6.094295e-04
2.496612e+01    5.825776e-04
2.573926e+01    5.563186e-04
2.653634e+01    5.315606e-04
2.694409e+01    5.196821e-04
2.735811e+01    5.080299e-04
2.777849e+01    4.964019e-04
2.820533e+01    4.851187e-04
2.863872e+01    4.742453e-04
2.952560e+01    4.523495e-04
2.997928e+01    4.422447e-04
3.043993e+01    4.319027e-04
3.090767e+01    4.219617e-04
3.138259e+01    4.126836e-04
3.186480e+01    4.031351e-04
3.235443e+01    3.936698e-04
3.335637e+01    3.758288e-04
3.386892e+01    3.672716e-04
3.545430e+01    3.423458e-04
3.599908e+01    3.342555e-04
3.711389e+01    3.190451e-04
3.768417e+01    3.113738e-04
3.826321e+01    3.043755e-04
3.885116e+01    2.975349e-04
3.944814e+01    2.900842e-04
4.005429e+01    2.835037e-04
4.066975e+01    2.766840e-04
4.129467e+01    2.700697e-04
4.192920e+01    2.639444e-04
4.257347e+01    2.576808e-04
4.322765e+01    2.515267e-04
4.594642e+01    2.287359e-04
4.665242e+01    2.233581e-04
4.736927e+01    2.178415e-04
4.883618e+01    2.077725e-04
4.958659e+01    2.026665e-04
5.034853e+01    1.978226e-04
5.190770e+01    1.885270e-04
5.270530e+01    1.839618e-04
5.351516e+01    1.795858e-04
5.433746e+01    1.752577e-04
5.602016e+01    1.668540e-04
5.688096e+01    1.629323e-04
5.775498e+01    1.589936e-04
5.864242e+01    1.550947e-04
6.138743e+01    1.440165e-04
6.233070e+01    1.405148e-04
6.328846e+01    1.370374e-04
