# W [GeV]    S_gg [GeV^-1]
1.015366e+01    1.598355e-03
1.030968e+01    1.563814e-03
1.062894e+01    1.494030e-03
1.095810e+01    1.429899e-03
1.112648e+01    1.396449e-03
1.129744e+01    1.365884e-03
1.147104e+01    1.335276e-03
1.164730e+01    1.304111e-03
1.182627e+01    1.275651e-03
1.200799e+01    1.248320e-03
1.219250e+01    1.219607e-03
1.237985e+01    1.191679e-03
1.257007e+01    1.165664e-03
1.295934e+01    1.114466e-03
1.315847e+01    1.090296e-03
1.336066e+01    1.065038e-03
1.356595e+01    1.040137e-03
1.377440e+01    1.017252e-03
1.398606e+01    9.946364e-04
1.420097e+01    9.725536e-04
1.441917e+01    9.490388e-04
1.464074e+01    9.286088e-04
1.486570e+01    9.061958e-04
1.509413e+01    8.856994e-04
1.532606e+01    8.663203e-04
1.580067e+01    8.279089e-04
1.604346e+01    8.079530e-04
1.628998e+01    7.902756e-04
1.654029e+01    7.718511e-04
1.679444e+01    7.549015e-04
1.705250e+01    7.369098e-04
1.731453e+01    7.203270e-04
1.758058e+01    7.045877e-04
1.785072e+01    6.886476e-04
1.812501e+01    6.724895e-04
1.840351e+01    6.566923e-04
1.868629e+01    6.420455e-04
1.926496e+01    6.123703e-04
1.956099e+01    5.982270e-04
1.986155e+01    5.844737e-04
2.016674e+01    5.710646e-04
2.047662e+01    5.582401e-04
2.079126e+01    5.452460e-04
2.111073e+01    5.329730e-04
2.143512e+01    5.198795e-04
2.176448e+01    5.083984e-04
2.209891e+01    4.966163e-04
2.243848e+01    4.844957e-04
2.278326e+01    4.739356e-04
2.313334e+01    4.627681e-04
2.348881e+01    4.517315e-04
2.384973e+01    4.412994e-04
2.421620e+01    4.308614e-04
2.458830e+01    4.206173e-04
2.496612e+01    4.112501e-04
2.534974e+01    4.013760e-04
2.573926e+01    3.916654e-04
2.613476e+01    3.828640e-04
2.653634e+01    3.734728e-04
2.735811e+01    3.566800e-04
2.777849e+01    3.482826e-04
