# W [GeV]    S_gg [GeV^-1]
1.015366e+01    1.867606e-03
1.030968e+01    1.830313e-03
1.046809e+01    1.793144e-03
1.079226e+01    1.719521e-03
1.095810e+01    1.685974e-03
1.112648e+01    1.650673e-03
1.129744e+01    1.616999e-03
1.147104e+01    1.583933e-03
1.164730e+01    1.551714e-03
1.182627e+01    1.519741e-03
1.219250e+01    1.458153e-03
1.237985e+01    1.429118e-03
1.257007e+01    1.399491e-03
1.276322e+01    1.370389e-03
1.336066e+01    1.288484e-03
1.377440e+01    1.235700e-03
1.398606e+01    1.209458e-03
1.420097e+01    1.185441e-03
1.441917e+01    1.159197e-03
1.486570e+01    1.112546e-03
1.532606e+01    1.067026e-03
1.556155e+01    1.044057e-03
1.580067e+01    1.022775e-03
1.628998e+01    9.803214e-04
1.654029e+01    9.600620e-04
1.679444e+01    9.397532e-04
1.705250e+01    9.198977e-04
1.731453e+01    9.008491e-04
1.758058e+01    8.819794e-04
1.785072e+01    8.637202e-04
1.812501e+01    8.446872e-04
1.840351e+01    8.274663e-04
1.868629e+01    8.099694e-04
1.897342e+01    7.917447e-04
1.926496e+01    7.763784e-04
1.956099e+01    7.600599e-04
1.986155e+01    7.439859e-04
2.016674e+01    7.281450e-04
2.047662e+01    7.125485e-04
2.079126e+01    6.975358e-04
2.111073e+01    6.834055e-04
2.143512e+01    6.685347e-04
2.176448e+01    6.540570e-04
2.209891e+01    6.400699e-04
2.243848e+01    6.266160e-04
2.278326e+01    6.127697e-04
2.313334e+01    5.999269e-04
2.348881e+01    5.871891e-04
2.384973e+01    5.743707e-04
2.458830e+01    5.502433e-04
2.496612e+01    5.380075e-04
2.534974e+01    5.262935e-04
2.573926e+01    5.153049e-04
2.613476e+01    5.046117e-04
2.694409e+01    4.824723e-04
2.735811e+01    4.721196e-04
2.777849e+01    4.617564e-04
2.863872e+01    4.419599e-04
2.907878e+01    4.324689e-04
2.952560e+01    4.231377e-04
2.997928e+01    4.138861e-04
3.043993e+01    4.047641e-04
3.090767e+01    3.955240e-04
3.138259e+01    3.870955e-04
3.186480e+01    3.785472e-04
3.235443e+01    3.703842e-04
3.285158e+01    3.621275e-04
3.335637e+01    3.541007e-04
3.491776e+01    3.312873e-04
3.545430e+01    3.238906e-04
3.711389e+01    3.027954e-04
3.768417e+01    2.961668e-04
3.826321e+01    2.893200e-04
3.885116e+01    2.827929e-04
3.944814e+01    2.765765e-04
4.005429e+01    2.703739e-04
4.066975e+01    2.641834e-04
4.129467e+01    2.583957e-04
4.192920e+01    2.525557e-04
4.257347e+01    2.468405e-04
4.322765e+01    2.410917e-04
4.389187e+01    2.356820e-04
4.456630e+01    2.304398e-04
4.525110e+01    2.251383e-04
4.665242e+01    2.151005e-04
4.809713e+01    2.052382e-04
4.883618e+01    2.005101e-04
4.958659e+01    1.959697e-04
5.034853e+01    1.914664e-04
5.112217e+01    1.870174e-04
5.190770e+01    1.828712e-04
5.270530e+01    1.784993e-04
5.351516e+01    1.743736e-04
5.433746e+01    1.703230e-04
5.517240e+01    1.664685e-04
5.602016e+01    1.625385e-04
5.775498e+01    1.549515e-04
5.864242e+01    1.513825e-04
5.954351e+01    1.478213e-04
6.045844e+01    1.443516e-04
6.233070e+01    1.374963e-04
6.328846e+01    1.343344e-04
6.426093e+01    1.311415e-04
6.524835e+01    1.280187e-04
6.625094e+01    1.249554e-04
6.726894e+01    1.220063e-04
6.830258e+01    1.191779e-04
6.935210e+01    1.162592e-04
7.041775e+01    1.134410e-04
7.149977e+01    1.107514e-04
7.259842e+01    1.080728e-04
7.371395e+01    1.054963e-04
7.599669e+01    1.004570e-04
7.835013e+01    9.560458e-05
7.955404e+01    9.320760e-05
8.201764e+01    8.873926e-05
8.327791e+01    8.659092e-05
8.455754e+01    8.445391e-05
8.585683e+01    8.235609e-05
8.717608e+01    8.030599e-05
8.851561e+01    7.830635e-05
8.987572e+01    7.635369e-05
9.125673e+01    7.446959e-05
9.265896e+01    7.256911e-05
9.408273e+01    7.076817e-05
9.699626e+01    6.727795e-05
9.848668e+01    6.554016e-05
1.000000e+02    6.391568e-05
1.030968e+02    6.071025e-05
1.046809e+02    5.917630e-05
1.062894e+02    5.766564e-05
1.079226e+02    5.619904e-05
1.112648e+02    5.331535e-05
1.129744e+02    5.195877e-05
1.147104e+02    5.062285e-05
1.164730e+02    4.931597e-05
1.200799e+02    4.677180e-05
1.219250e+02    4.554519e-05
1.237985e+02    4.436698e-05
1.257007e+02    4.317794e-05
1.295934e+02    4.093430e-05
1.315847e+02    3.985393e-05
1.336066e+02    3.879994e-05
1.356595e+02    3.778351e-05
1.377440e+02    3.677500e-05
1.398606e+02    3.577906e-05
1.420097e+02    3.483012e-05
1.441917e+02    3.388022e-05
1.464074e+02    3.296291e-05
1.486570e+02    3.208876e-05
1.509413e+02    3.121984e-05
1.532606e+02    3.037002e-05
1.556155e+02    2.953726e-05
1.580067e+02    2.873154e-05
1.604346e+02    2.793595e-05
1.628998e+02    2.717590e-05
1.654029e+02    2.643244e-05
1.679444e+02    2.570217e-05
1.705250e+02    2.499171e-05
1.731453e+02    2.428589e-05
1.758058e+02    2.361391e-05
1.785072e+02    2.295179e-05
1.812501e+02    2.230994e-05
1.840351e+02    2.169253e-05
1.868629e+02    2.106995e-05
1.897342e+02    2.046992e-05
1.926496e+02    1.990357e-05
1.956099e+02    1.933247e-05
1.986155e+02    1.878419e-05
2.016674e+02    1.824865e-05
2.047662e+02    1.771749e-05
2.079126e+02    1.721001e-05
2.143512e+02    1.623198e-05
2.176448e+02    1.576224e-05
2.243848e+02    1.485180e-05
2.278326e+02    1.442019e-05
2.313334e+02    1.398494e-05
2.348881e+02    1.358656e-05
2.421620e+02    1.278555e-05
2.458830e+02    1.240500e-05
2.496612e+02    1.203522e-05
2.534974e+02    1.167616e-05
2.573926e+02    1.132799e-05
2.613476e+02    1.098008e-05
2.653634e+02    1.065081e-05
2.694409e+02    1.032626e-05
2.777849e+02    9.706017e-06
2.863872e+02    9.115142e-06
2.907878e+02    8.842241e-06
2.952560e+02    8.566129e-06
2.997928e+02    8.299890e-06
3.043993e+02    8.039865e-06
3.090767e+02    7.788664e-06
3.138259e+02    7.544755e-06
3.186480e+02    7.305899e-06
3.285158e+02    6.851265e-06
3.335637e+02    6.631844e-06
3.438934e+02    6.215013e-06
3.491776e+02    6.014426e-06
3.599908e+02    5.626880e-06
3.655223e+02    5.446926e-06
3.711389e+02    5.270372e-06
3.826321e+02    4.929481e-06
3.885116e+02    4.764831e-06
3.944814e+02    4.607450e-06
4.005429e+02    4.452986e-06
4.066975e+02    4.305079e-06
