# W0 [GeV]	Sigma_muLHC@5.3 TeV [pb]	Sigma_muLHC@7.5 TeV [pb]
2.88693502e+02	5.64777046e-04	3.63847418e-04
2.89608435e+02	5.62945525e-04	3.62553550e-04
2.90526268e+02	5.61108199e-04	3.61255582e-04
2.91447009e+02	5.59264686e-04	3.59954594e-04
2.92370669e+02	5.57415187e-04	3.58649918e-04
2.93297256e+02	5.55559825e-04	3.57341107e-04
2.94226780e+02	5.53698584e-04	3.56028148e-04
2.95159249e+02	5.51831444e-04	3.54711028e-04
2.96094674e+02	5.49961268e-04	3.53394001e-04
2.97033063e+02	5.48085499e-04	3.52073294e-04
2.97974426e+02	5.46203786e-04	3.50748402e-04
2.98918773e+02	5.44316109e-04	3.49419310e-04
2.99866112e+02	5.42422884e-04	3.48086561e-04
3.00816454e+02	5.40528860e-04	3.46756223e-04
3.01769807e+02	5.38628833e-04	3.45421669e-04
3.02726182e+02	5.36722785e-04	3.44082885e-04
3.03685588e+02	5.34810696e-04	3.42739859e-04
3.04648035e+02	5.32894856e-04	3.41395039e-04
3.05613531e+02	5.30979594e-04	3.40053044e-04
3.06582088e+02	5.29058261e-04	3.38706797e-04
3.07553714e+02	5.27130839e-04	3.37356283e-04
3.08528419e+02	5.25197309e-04	3.36001489e-04
3.09506214e+02	5.23263243e-04	3.34647519e-04
3.10487107e+02	5.21330209e-04	3.33295812e-04
3.11471109e+02	5.19391049e-04	3.31939822e-04
3.12458230e+02	5.17445743e-04	3.30579534e-04
3.13448479e+02	5.15494272e-04	3.29214935e-04
3.14441866e+02	5.13546345e-04	3.27854665e-04
3.15438401e+02	5.11598225e-04	3.26495404e-04
3.16438095e+02	5.09643931e-04	3.25131835e-04
3.17440957e+02	5.07683443e-04	3.23763945e-04
3.18446997e+02	5.05716741e-04	3.22391719e-04
3.19456226e+02	5.03758737e-04	3.21035310e-04
3.20468653e+02	5.01798252e-04	3.19679633e-04
3.21484289e+02	4.99831554e-04	3.18319660e-04
3.22503143e+02	4.97858623e-04	3.16955376e-04
3.23525227e+02	4.95879439e-04	3.15586769e-04
3.24550549e+02	4.93915243e-04	3.14213824e-04
3.25579121e+02	4.91945226e-04	3.12836528e-04
3.26610953e+02	4.89968965e-04	3.11454868e-04
3.27646055e+02	4.87986442e-04	3.10068828e-04
3.28684438e+02	4.86001529e-04	3.08682999e-04
3.29726111e+02	4.84030475e-04	3.07316594e-04
3.30771086e+02	4.82053174e-04	3.05945858e-04
3.31819372e+02	4.80069607e-04	3.04570778e-04
3.32870981e+02	4.78079753e-04	3.03191340e-04
3.33925922e+02	4.76092569e-04	3.01818831e-04
3.34984207e+02	4.74116308e-04	3.00463651e-04
3.36045845e+02	4.72133783e-04	2.99104177e-04
3.37110849e+02	4.70144975e-04	2.97740394e-04
3.38179227e+02	4.68149864e-04	2.96372288e-04
3.39250992e+02	4.66163135e-04	2.94999848e-04
3.40326153e+02	4.64183501e-04	2.93623057e-04
3.41404721e+02	4.62197592e-04	2.92241903e-04
3.42486708e+02	4.60205390e-04	2.90856372e-04
3.43572124e+02	4.58206874e-04	2.89466450e-04
3.44660979e+02	4.56235114e-04	2.88097258e-04
3.45753286e+02	4.54271000e-04	2.86734280e-04
3.46849054e+02	4.52300662e-04	2.85366982e-04
3.47948295e+02	4.50324079e-04	2.83995351e-04
3.49051020e+02	4.48341231e-04	2.82619374e-04
3.50157239e+02	4.46352100e-04	2.81274236e-04
3.51266965e+02	4.44356664e-04	2.79929397e-04
3.52380207e+02	4.42354905e-04	2.78580297e-04
3.53496977e+02	4.40346801e-04	2.77226921e-04
3.54617287e+02	4.38335718e-04	2.75869256e-04
3.55741147e+02	4.36366060e-04	2.74507288e-04
