# W [GeV]    S_gg [GeV^-1]
1.015366e+01    1.580932e-03
1.030968e+01    1.545926e-03
1.046809e+01    1.515060e-03
1.112648e+01    1.392719e-03
1.129744e+01    1.364187e-03
1.147104e+01    1.335086e-03
1.164730e+01    1.308339e-03
1.182627e+01    1.279290e-03
1.219250e+01    1.228200e-03
1.237985e+01    1.201416e-03
1.295934e+01    1.127457e-03
1.315847e+01    1.104139e-03
1.336066e+01    1.081746e-03
1.377440e+01    1.036004e-03
1.420097e+01    9.922767e-04
1.464074e+01    9.512981e-04
1.486570e+01    9.313739e-04
1.509413e+01    9.116731e-04
1.532606e+01    8.921183e-04
1.556155e+01    8.729060e-04
1.580067e+01    8.540476e-04
1.604346e+01    8.367053e-04
1.628998e+01    8.189340e-04
1.654029e+01    8.008601e-04
1.679444e+01    7.836019e-04
1.705250e+01    7.671667e-04
1.731453e+01    7.502494e-04
1.785072e+01    7.186925e-04
1.868629e+01    6.735846e-04
1.897342e+01    6.587797e-04
1.926496e+01    6.443293e-04
1.986155e+01    6.172467e-04
2.016674e+01    6.040144e-04
2.047662e+01    5.903864e-04
2.079126e+01    5.779602e-04
2.111073e+01    5.654683e-04
2.143512e+01    5.526181e-04
2.176448e+01    5.407876e-04
2.209891e+01    5.291182e-04
2.243848e+01    5.177571e-04
2.278326e+01    5.063688e-04
2.313334e+01    4.951300e-04
2.348881e+01    4.842495e-04
2.384973e+01    4.738331e-04
2.496612e+01    4.429475e-04
2.534974e+01    4.330117e-04
2.573926e+01    4.239406e-04
2.613476e+01    4.143195e-04
2.653634e+01    4.051383e-04
2.694409e+01    3.961773e-04
2.777849e+01    3.786554e-04
2.820533e+01    3.702543e-04
2.863872e+01    3.622004e-04
2.907878e+01    3.539053e-04
2.952560e+01    3.459169e-04
2.997928e+01    3.384341e-04
3.090767e+01    3.232817e-04
3.138259e+01    3.161548e-04
3.186480e+01    3.089797e-04
3.235443e+01    3.019395e-04
3.285158e+01    2.952854e-04
3.335637e+01    2.884187e-04
3.438934e+01    2.756403e-04
3.491776e+01    2.691630e-04
3.545430e+01    2.632812e-04
3.599908e+01    2.570716e-04
3.655223e+01    2.513467e-04
3.826321e+01    2.344828e-04
