# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]
2.00000000e+02	4.60621850e-05	4.63340619e-04
2.00633844e+02	4.59848172e-05	4.63024545e-04
2.01269697e+02	4.59072042e-05	4.62707468e-04
2.01907565e+02	4.58263681e-05	4.62375327e-04
2.02547454e+02	4.57403302e-05	4.62018777e-04
2.03189372e+02	4.56540196e-05	4.61661096e-04
2.03833324e+02	4.55674354e-05	4.61302282e-04
2.04479316e+02	4.54805769e-05	4.60942331e-04
2.05127356e+02	4.53890020e-05	4.60559588e-04
2.05777450e+02	4.52935981e-05	4.60158378e-04
2.06429604e+02	4.51978918e-05	4.59755897e-04
2.07083825e+02	4.51018821e-05	4.59352141e-04
2.07740119e+02	4.50055682e-05	4.58947105e-04
2.08398493e+02	4.49030993e-05	4.58496365e-04
2.09058954e+02	4.47982225e-05	4.58028380e-04
2.09721508e+02	4.46930133e-05	4.57558911e-04
2.10386161e+02	4.45874707e-05	4.57087955e-04
2.11052921e+02	4.44815936e-05	4.56615506e-04
2.11721795e+02	4.43681842e-05	4.56141560e-04
2.12392788e+02	4.42537765e-05	4.55666111e-04
2.13065907e+02	4.41390062e-05	4.55189156e-04
2.13741160e+02	4.40238721e-05	4.54710690e-04
2.14418553e+02	4.39076212e-05	4.54224558e-04
2.15098092e+02	4.37841684e-05	4.53681022e-04
2.15779785e+02	4.36603244e-05	4.53135764e-04
2.16463639e+02	4.35360879e-05	4.52588778e-04
2.17149660e+02	4.34114576e-05	4.52040058e-04
2.17837855e+02	4.32844027e-05	4.51472556e-04
2.18528231e+02	4.31517231e-05	4.50859407e-04
2.19220795e+02	4.30186231e-05	4.50244315e-04
2.19915554e+02	4.28851012e-05	4.49627274e-04
2.20612515e+02	4.27511561e-05	4.49008277e-04
2.21311685e+02	4.26122710e-05	4.48387318e-04
2.22013070e+02	4.24676577e-05	4.47764391e-04
2.22716678e+02	4.23225860e-05	4.47139491e-04
2.23422516e+02	4.21770546e-05	4.46512609e-04
2.24130592e+02	4.20310619e-05	4.45883741e-04
2.24840911e+02	4.18846066e-05	4.45213758e-04
2.25553481e+02	4.17376871e-05	4.44519778e-04
2.26268310e+02	4.15903020e-05	4.43823599e-04
2.26985404e+02	4.14424498e-05	4.43125213e-04
2.27704771e+02	4.12941291e-05	4.42424614e-04
2.28426417e+02	4.11378111e-05	4.41690007e-04
2.29150351e+02	4.09793722e-05	4.40946208e-04
2.29876579e+02	4.08204312e-05	4.40200052e-04
2.30605108e+02	4.06609865e-05	4.39451530e-04
2.31335946e+02	4.05010185e-05	4.38700506e-04
2.32069101e+02	4.03353742e-05	4.37909714e-04
2.32804579e+02	4.01692048e-05	4.37116415e-04
2.33542388e+02	4.00025089e-05	4.36320603e-04
2.34282535e+02	3.98352847e-05	4.35522268e-04
2.35025028e+02	3.96666981e-05	4.34711880e-04
2.35769874e+02	3.94938846e-05	4.33856678e-04
2.36517081e+02	3.93205235e-05	4.32998765e-04
2.37266655e+02	3.91466129e-05	4.32138133e-04
2.38018606e+02	3.89721511e-05	4.31274774e-04
2.38772939e+02	3.87952491e-05	4.30408679e-04
2.39529663e+02	3.86144985e-05	4.29539839e-04
2.40288785e+02	3.84331751e-05	4.28668245e-04
2.41050313e+02	3.82512770e-05	4.27793889e-04
2.41814255e+02	3.80688024e-05	4.26916762e-04
2.42580617e+02	3.78857496e-05	4.26010158e-04
2.43349409e+02	3.77021166e-05	4.25078433e-04
2.44120637e+02	3.75179016e-05	4.24143755e-04
2.44894309e+02	3.73331028e-05	4.23206115e-04
2.45670433e+02	3.71477183e-05	4.22265504e-04
2.46449016e+02	3.69587428e-05	4.21300818e-04
2.47230067e+02	3.67680368e-05	4.20325128e-04
2.48013594e+02	3.65767264e-05	4.19346345e-04
2.48799604e+02	3.63848097e-05	4.18364461e-04
2.49588104e+02	3.61922848e-05	4.17379465e-04
2.50379104e+02	3.59977048e-05	4.16367290e-04
2.51172610e+02	3.58023607e-05	4.15349450e-04
2.51968632e+02	3.56063974e-05	4.14328384e-04
2.52767176e+02	3.54098131e-05	4.13304082e-04
2.53568251e+02	3.52125291e-05	4.12274426e-04
2.54371864e+02	3.50138271e-05	4.11219714e-04
2.55178025e+02	3.48144954e-05	4.10161659e-04
2.55986740e+02	3.46145320e-05	4.09100251e-04
2.56798018e+02	3.44139349e-05	4.08035479e-04
2.57611868e+02	3.42126674e-05	4.06961767e-04
2.58428296e+02	3.40106677e-05	4.05869513e-04
2.59247313e+02	3.38080279e-05	4.04773796e-04
2.60068924e+02	3.36047459e-05	4.03674607e-04
2.60893140e+02	3.34008196e-05	4.02571935e-04
2.61719968e+02	3.31968448e-05	4.01457749e-04
2.62549416e+02	3.29929555e-05	4.00330214e-04
2.63381493e+02	3.27884201e-05	3.99199105e-04
2.64216207e+02	3.25832364e-05	3.98064411e-04
2.65053566e+02	3.23774024e-05	3.96926122e-04
2.65893579e+02	3.21709162e-05	3.95774665e-04
2.66736255e+02	3.19637755e-05	3.94613953e-04
2.67581600e+02	3.17559783e-05	3.93449564e-04
2.68429625e+02	3.15475226e-05	3.92281483e-04
2.69280338e+02	3.13384062e-05	3.91109701e-04
2.70133747e+02	3.11305466e-05	3.89921327e-04
2.70989860e+02	3.09224745e-05	3.88726192e-04
2.71848686e+02	3.07137430e-05	3.87527270e-04
2.72710235e+02	3.05043500e-05	3.86324548e-04
2.73574514e+02	3.02942933e-05	3.85118014e-04
2.74441531e+02	3.00861387e-05	3.83907656e-04
2.75311297e+02	2.98773441e-05	3.82693463e-04
2.76183819e+02	2.96678877e-05	3.81475422e-04
2.77059106e+02	2.94577676e-05	3.80253520e-04
2.77937168e+02	2.92475393e-05	3.79025576e-04
2.78818012e+02	2.90393121e-05	3.77783365e-04
2.79701647e+02	2.88304250e-05	3.76537217e-04
2.80588083e+02	2.86208758e-05	3.75287120e-04
2.81477329e+02	2.84106625e-05	3.74033061e-04
2.82369392e+02	2.82011159e-05	3.72775028e-04
2.83264283e+02	2.79933417e-05	3.71513007e-04
2.84162010e+02	2.77849090e-05	3.70246987e-04
2.85062582e+02	2.75758157e-05	3.68976955e-04
2.85966008e+02	2.73660598e-05	3.67702898e-04
2.86872297e+02	2.71591864e-05	3.66422903e-04
2.87781459e+02	2.69547470e-05	3.65137198e-04
2.88693502e+02	2.67496598e-05	3.63847418e-04
2.89608435e+02	2.65439226e-05	3.62553550e-04
2.90526268e+02	2.63375333e-05	3.61255582e-04
2.91447009e+02	2.61304900e-05	3.59954594e-04
2.92370669e+02	2.59227904e-05	3.58649918e-04
2.93297256e+02	2.57144327e-05	3.57341107e-04
2.94226780e+02	2.55054146e-05	3.56028148e-04
2.95159249e+02	2.52957341e-05	3.54711028e-04
2.96094674e+02	2.50920644e-05	3.53394001e-04
2.97033063e+02	2.48885217e-05	3.52073294e-04
2.97974426e+02	2.46843339e-05	3.50748402e-04
2.98918773e+02	2.44794990e-05	3.49419310e-04
2.99866112e+02	2.42744454e-05	3.48086561e-04
3.00816454e+02	2.40738896e-05	3.46756223e-04
3.01769807e+02	2.38726983e-05	3.45421669e-04
