# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
2.00000000e+02	4.60621850e-05	2.84945913e-04	9.55480029e-04
2.00633844e+02	4.59848172e-05	2.84722269e-04	9.54941312e-04
2.01269697e+02	4.59072042e-05	2.84497917e-04	9.54400888e-04
2.01907565e+02	4.58263681e-05	2.84263077e-04	9.53834161e-04
2.02547454e+02	4.57403302e-05	2.84011253e-04	9.53224788e-04
2.03189372e+02	4.56540196e-05	2.83758631e-04	9.52613485e-04
2.03833324e+02	4.55674354e-05	2.83505208e-04	9.52000244e-04
2.04479316e+02	4.54805769e-05	2.83250982e-04	9.51385060e-04
2.05127356e+02	4.53890020e-05	2.82980942e-04	9.50729910e-04
2.05777450e+02	4.52935981e-05	2.82698088e-04	9.50042391e-04
2.06429604e+02	4.51978918e-05	2.82414338e-04	9.49352694e-04
2.07083825e+02	4.51018821e-05	2.82129688e-04	9.48660810e-04
2.07740119e+02	4.50055682e-05	2.81844136e-04	9.47966734e-04
2.08398493e+02	4.49030993e-05	2.81537328e-04	9.47218261e-04
2.09058954e+02	4.47982225e-05	2.81222301e-04	9.46448828e-04
2.09721508e+02	4.46930133e-05	2.80906275e-04	9.45676957e-04
2.10386161e+02	4.45874707e-05	2.80589248e-04	9.44902639e-04
2.11052921e+02	4.44815936e-05	2.80271216e-04	9.44125868e-04
2.11721795e+02	4.43681842e-05	2.79926456e-04	9.43279774e-04
2.12392788e+02	4.42537765e-05	2.79578321e-04	9.42425064e-04
2.13065907e+02	4.41390062e-05	2.79229083e-04	9.41567644e-04
2.13741160e+02	4.40238721e-05	2.78878738e-04	9.40707508e-04
2.14418553e+02	4.39076212e-05	2.78524498e-04	9.39837343e-04
2.15098092e+02	4.37841684e-05	2.78143835e-04	9.38898076e-04
2.15779785e+02	4.36603244e-05	2.77761965e-04	9.37955832e-04
2.16463639e+02	4.35360879e-05	2.77378885e-04	9.37010602e-04
2.17149660e+02	4.34114576e-05	2.76994591e-04	9.36062376e-04
2.17837855e+02	4.32844027e-05	2.76601268e-04	9.35090458e-04
2.18528231e+02	4.31517231e-05	2.76186600e-04	9.34062233e-04
2.19220795e+02	4.30186231e-05	2.75770619e-04	9.33030750e-04
2.19915554e+02	4.28851012e-05	2.75353319e-04	9.31995998e-04
2.20612515e+02	4.27511561e-05	2.74934696e-04	9.30957966e-04
2.21311685e+02	4.26122710e-05	2.74502042e-04	9.29882676e-04
2.22013070e+02	4.24676577e-05	2.74053137e-04	9.28764196e-04
2.22716678e+02	4.23225860e-05	2.73602809e-04	9.27642172e-04
2.23422516e+02	4.21770546e-05	2.73151054e-04	9.26516592e-04
2.24130592e+02	4.20310619e-05	2.72697867e-04	9.25387444e-04
2.24840911e+02	4.18846066e-05	2.72225973e-04	9.24185681e-04
2.25553481e+02	4.17376871e-05	2.71742927e-04	9.22941510e-04
2.26268310e+02	4.15903020e-05	2.71258350e-04	9.21693396e-04
2.26985404e+02	4.14424498e-05	2.70772237e-04	9.20441326e-04
2.27704771e+02	4.12941291e-05	2.70284584e-04	9.19185289e-04
2.28426417e+02	4.11378111e-05	2.69774036e-04	9.17925270e-04
2.29150351e+02	4.09793722e-05	2.69257260e-04	9.16661259e-04
