# W [GeV]    S_gg [GeV^-1]
1.000000e+01    1.561005e-03
1.015366e+01    1.527161e-03
1.030968e+01    1.493444e-03
1.046809e+01    1.461675e-03
1.062894e+01    1.430249e-03
1.079226e+01    1.398873e-03
1.095810e+01    1.369691e-03
1.112648e+01    1.339927e-03
1.129744e+01    1.310957e-03
1.147104e+01    1.281948e-03
1.182627e+01    1.226189e-03
1.200799e+01    1.200553e-03
1.237985e+01    1.147061e-03
1.257007e+01    1.121753e-03
1.295934e+01    1.073926e-03
1.315847e+01    1.049437e-03
1.336066e+01    1.027539e-03
1.356595e+01    1.003070e-03
1.398606e+01    9.596256e-04
1.420097e+01    9.376450e-04
1.464074e+01    8.962341e-04
1.486570e+01    8.763832e-04
1.509413e+01    8.573503e-04
1.532606e+01    8.376420e-04
1.556155e+01    8.191489e-04
1.580067e+01    8.007675e-04
1.604346e+01    7.827028e-04
1.628998e+01    7.650155e-04
1.654029e+01    7.476111e-04
1.679444e+01    7.302610e-04
1.731453e+01    6.975743e-04
1.758058e+01    6.815721e-04
1.785072e+01    6.659718e-04
1.840351e+01    6.360912e-04
1.868629e+01    6.212985e-04
1.897342e+01    6.071868e-04
1.926496e+01    5.934301e-04
1.956099e+01    5.792813e-04
1.986155e+01    5.661339e-04
2.016674e+01    5.532903e-04
2.047662e+01    5.405144e-04
2.079126e+01    5.277808e-04
2.111073e+01    5.157807e-04
2.143512e+01    5.036581e-04
2.176448e+01    4.916606e-04
2.209891e+01    4.805183e-04
2.278326e+01    4.579907e-04
2.313334e+01    4.476082e-04
2.348881e+01    4.368946e-04
2.421620e+01    4.166581e-04
2.458830e+01    4.066187e-04
2.534974e+01    3.879498e-04
2.653634e+01    3.606047e-04
2.694409e+01    3.521560e-04
2.777849e+01    3.354205e-04
2.820533e+01    3.274561e-04
2.907878e+01    3.118133e-04
2.952560e+01    3.045840e-04
3.043993e+01    2.899828e-04
3.090767e+01    2.832615e-04
3.235443e+01    2.628951e-04
3.335637e+01    2.502752e-04
3.386892e+01    2.442730e-04
3.438934e+01    2.382295e-04
3.491776e+01    2.324420e-04
3.545430e+01    2.265487e-04
3.655223e+01    2.156567e-04
3.711389e+01    2.101986e-04
3.768417e+01    2.051586e-04
3.826321e+01    2.002173e-04
3.885116e+01    1.951516e-04
3.944814e+01    1.902891e-04
4.005429e+01    1.855812e-04
4.066975e+01    1.808452e-04
4.129467e+01    1.764335e-04
4.192920e+01    1.720528e-04
4.257347e+01    1.677871e-04
4.322765e+01    1.634993e-04
4.456630e+01    1.553234e-04
4.525110e+01    1.514709e-04
4.594642e+01    1.476382e-04
4.665242e+01    1.438874e-04
4.809713e+01    1.367064e-04
4.883618e+01    1.332383e-04
4.958659e+01    1.298791e-04
5.034853e+01    1.265995e-04
5.112217e+01    1.232548e-04
5.190770e+01    1.202301e-04
5.270530e+01    1.171190e-04
5.351516e+01    1.140636e-04
5.433746e+01    1.111975e-04
5.517240e+01    1.083068e-04
5.602016e+01    1.055511e-04
5.688096e+01    1.028020e-04
5.775498e+01    1.000703e-04
5.954351e+01    9.495049e-05
6.138743e+01    9.006145e-05
6.233070e+01    8.776110e-05
6.328846e+01    8.544569e-05
6.426093e+01    8.318535e-05
6.524835e+01    8.097121e-05
6.625094e+01    7.887407e-05
6.726894e+01    7.675800e-05
6.830258e+01    7.474324e-05
6.935210e+01    7.276812e-05
7.041775e+01    7.083835e-05
7.149977e+01    6.897705e-05
7.371395e+01    6.533858e-05
7.484662e+01    6.353315e-05
7.716444e+01    6.021766e-05
7.835013e+01    5.859714e-05
7.955404e+01    5.702540e-05
8.077645e+01    5.544204e-05
8.201764e+01    5.398690e-05
8.327791e+01    5.250752e-05
8.851561e+01    4.703332e-05
8.987572e+01    4.573593e-05
9.125673e+01    4.449222e-05
9.265896e+01    4.324841e-05
9.408273e+01    4.205067e-05
9.552839e+01    4.086661e-05
9.699626e+01    3.975520e-05
9.848668e+01    3.863940e-05
1.000000e+02    3.757255e-05
1.015366e+02    3.652077e-05
1.030968e+02    3.550874e-05
1.062894e+02    3.354609e-05
1.079226e+02    3.259137e-05
1.095810e+02    3.165664e-05
1.112648e+02    3.075775e-05
1.129744e+02    2.990402e-05
1.147104e+02    2.905466e-05
1.182627e+02    2.740138e-05
1.200799e+02    2.663654e-05
1.219250e+02    2.586644e-05
1.237985e+02    2.511432e-05
1.276322e+02    2.367889e-05
1.295934e+02    2.300420e-05
1.315847e+02    2.233489e-05
1.336066e+02    2.168368e-05
1.356595e+02    2.104563e-05
1.377440e+02    2.043120e-05
1.398606e+02    1.983157e-05
1.420097e+02    1.924454e-05
1.441917e+02    1.867350e-05
1.464074e+02    1.812228e-05
1.509413e+02    1.705147e-05
1.532606e+02    1.654368e-05
1.556155e+02    1.605476e-05
1.580067e+02    1.557538e-05
1.604346e+02    1.510444e-05
1.628998e+02    1.464703e-05
1.654029e+02    1.420327e-05
1.679444e+02    1.376619e-05
1.731453e+02    1.294422e-05
1.758058e+02    1.254489e-05
1.785072e+02    1.216533e-05
1.812501e+02    1.179224e-05
