# W [GeV]    S_gg [GeV^-1]
1.000000e+01    2.232564e-03
1.015366e+01    2.187159e-03
1.030968e+01    2.146095e-03
1.079226e+01    2.020543e-03
1.095810e+01    1.977928e-03
1.112648e+01    1.940462e-03
1.129744e+01    1.898938e-03
1.147104e+01    1.860785e-03
1.164730e+01    1.824333e-03
1.200799e+01    1.752523e-03
1.237985e+01    1.680548e-03
1.257007e+01    1.648057e-03
1.276322e+01    1.613832e-03
1.295934e+01    1.583157e-03
1.315847e+01    1.549513e-03
1.336066e+01    1.517865e-03
1.356595e+01    1.486909e-03
1.377440e+01    1.458217e-03
1.398606e+01    1.427149e-03
1.441917e+01    1.369833e-03
1.464074e+01    1.343038e-03
1.486570e+01    1.315322e-03
1.509413e+01    1.289205e-03
1.532606e+01    1.262163e-03
1.556155e+01    1.236306e-03
1.604346e+01    1.186332e-03
1.654029e+01    1.138594e-03
1.679444e+01    1.115444e-03
1.731453e+01    1.070414e-03
1.758058e+01    1.048158e-03
1.785072e+01    1.026135e-03
1.840351e+01    9.852025e-04
1.868629e+01    9.645055e-04
1.897342e+01    9.445685e-04
1.926496e+01    9.250858e-04
1.956099e+01    9.063419e-04
1.986155e+01    8.876508e-04
2.016674e+01    8.695171e-04
2.047662e+01    8.504636e-04
2.079126e+01    8.332653e-04
2.176448e+01    7.826498e-04
2.209891e+01    7.663741e-04
2.243848e+01    7.502870e-04
2.278326e+01    7.344215e-04
2.313334e+01    7.190262e-04
2.348881e+01    7.042626e-04
2.384973e+01    6.891822e-04
2.421620e+01    6.753060e-04
2.458830e+01    6.609441e-04
2.496612e+01    6.472474e-04
2.534974e+01    6.335374e-04
2.573926e+01    6.202523e-04
2.613476e+01    6.071316e-04
2.653634e+01    5.946101e-04
2.694409e+01    5.816294e-04
2.735811e+01    5.697001e-04
2.777849e+01    5.579263e-04
2.820533e+01    5.455536e-04
2.952560e+01    5.116341e-04
2.997928e+01    5.011892e-04
3.043993e+01    4.896904e-04
3.090767e+01    4.795717e-04
3.138259e+01    4.693496e-04
3.186480e+01    4.596339e-04
3.235443e+01    4.496474e-04
3.386892e+01    4.213091e-04
3.438934e+01    4.125310e-04
3.491776e+01    4.034978e-04
3.545430e+01    3.947936e-04
3.599908e+01    3.863750e-04
3.655223e+01    3.786133e-04
3.711389e+01    3.702081e-04
3.826321e+01    3.541867e-04
3.885116e+01    3.463478e-04
3.944814e+01    3.389465e-04
4.005429e+01    3.316669e-04
4.129467e+01    3.175622e-04
4.192920e+01    3.105627e-04
4.322765e+01    2.970644e-04
4.389187e+01    2.904411e-04
4.525110e+01    2.780177e-04
4.594642e+01    2.717858e-04
4.736927e+01    2.600848e-04
4.809713e+01    2.545045e-04
4.958659e+01    2.431421e-04
5.034853e+01    2.378261e-04
5.112217e+01    2.325122e-04
5.190770e+01    2.273361e-04
5.270530e+01    2.223632e-04
5.351516e+01    2.173584e-04
5.433746e+01    2.126451e-04
5.602016e+01    2.032754e-04
5.688096e+01    1.986110e-04
5.775498e+01    1.943134e-04
5.864242e+01    1.900206e-04
5.954351e+01    1.855590e-04
6.045844e+01    1.815324e-04
6.138743e+01    1.775036e-04
6.233070e+01    1.734545e-04
6.328846e+01    1.694316e-04
6.426093e+01    1.657199e-04
6.524835e+01    1.619426e-04
6.625094e+01    1.582465e-04
6.726894e+01    1.547390e-04
6.935210e+01    1.477540e-04
7.259842e+01    1.379258e-04
7.371395e+01    1.346698e-04
7.484662e+01    1.316044e-04
7.599669e+01    1.286292e-04
7.716444e+01    1.256667e-04
7.835013e+01    1.227446e-04
8.077645e+01    1.171718e-04
8.201764e+01    1.144100e-04
8.327791e+01    1.118362e-04
8.455754e+01    1.092240e-04
8.585683e+01    1.066782e-04
8.717608e+01    1.042367e-04
8.851561e+01    1.017550e-04
8.987572e+01    9.936386e-05
9.125673e+01    9.709209e-05
9.265896e+01    9.478143e-05
9.408273e+01    9.257072e-05
9.552839e+01    9.036299e-05
9.699626e+01    8.827812e-05
9.848668e+01    8.612407e-05
1.000000e+02    8.413538e-05
1.015366e+02    8.211754e-05
1.030968e+02    8.016312e-05
1.046809e+02    7.829600e-05
1.062894e+02    7.639018e-05
1.079226e+02    7.463128e-05
1.095810e+02    7.283564e-05
1.112648e+02    7.103608e-05
1.129744e+02    6.938521e-05
1.147104e+02    6.772640e-05
1.164730e+02    6.605937e-05
1.182627e+02    6.446201e-05
1.219250e+02    6.135859e-05
1.237985e+02    5.989735e-05
1.257007e+02    5.845766e-05
1.295934e+02    5.561365e-05
1.315847e+02    5.425701e-05
1.336066e+02    5.290796e-05
1.356595e+02    5.160939e-05
1.398606e+02    4.911932e-05
1.441917e+02    4.674028e-05
1.464074e+02    4.556576e-05
1.509413e+02    4.332849e-05
1.532606e+02    4.225604e-05
1.556155e+02    4.119088e-05
1.580067e+02    4.014740e-05
1.604346e+02    3.914890e-05
1.628998e+02    3.814413e-05
1.654029e+02    3.718136e-05
1.679444e+02    3.624683e-05
1.705250e+02    3.534837e-05
1.758058e+02    3.354734e-05
1.812501e+02    3.185259e-05
1.840351e+02    3.104270e-05
1.868629e+02    3.025929e-05
1.897342e+02    2.944345e-05
1.926496e+02    2.870250e-05
1.956099e+02    2.795919e-05
1.986155e+02    2.722682e-05
2.047662e+02    2.582325e-05
2.079126e+02    2.514541e-05
2.111073e+02    2.448508e-05
2.143512e+02    2.383518e-05
2.209891e+02    2.258278e-05
2.243848e+02    2.199535e-05
2.278326e+02    2.140603e-05
2.313334e+02    2.084443e-05
2.348881e+02    2.027294e-05
2.384973e+02    1.973481e-05
2.421620e+02    1.920475e-05
2.458830e+02    1.868317e-05
2.496612e+02    1.817781e-05
2.534974e+02    1.767769e-05
2.573926e+02    1.720331e-05
2.613476e+02    1.673465e-05
2.653634e+02    1.626857e-05
2.694409e+02    1.582370e-05
2.735811e+02    1.539332e-05
2.777849e+02    1.495435e-05
2.820533e+02    1.455147e-05
2.863872e+02    1.414576e-05
2.907878e+02    1.374189e-05
2.952560e+02    1.336656e-05
2.997928e+02    1.298864e-05
3.043993e+02    1.262275e-05
3.090767e+02    1.226738e-05
3.138259e+02    1.192099e-05
3.186480e+02    1.157875e-05
3.235443e+02    1.124352e-05
3.335637e+02    1.061400e-05
3.386892e+02    1.030107e-05
3.438934e+02    1.000428e-05
3.491776e+02    9.716541e-06
3.545430e+02    9.437789e-06
3.599908e+02    9.157173e-06
3.655223e+02    8.889546e-06
3.711389e+02    8.631137e-06
3.768417e+02    8.373333e-06
3.826321e+02    8.123660e-06
3.885116e+02    7.881812e-06
3.944814e+02    7.645669e-06
4.005429e+02    7.418985e-06
4.066975e+02    7.198144e-06
4.129467e+02    6.976256e-06
4.192920e+02    6.767450e-06
4.257347e+02    6.560594e-06
4.322765e+02    6.363251e-06
4.389187e+02    6.167371e-06
4.456630e+02    5.977630e-06
4.525110e+02    5.794322e-06
4.594642e+02    5.612434e-06
4.665242e+02    5.438705e-06
4.736927e+02    5.268637e-06
4.809713e+02    5.103736e-06
4.883618e+02    4.944283e-06
4.958659e+02    4.786299e-06
5.034853e+02    4.634194e-06
5.112217e+02    4.485903e-06
5.351516e+02    4.068901e-06
5.433746e+02    3.938089e-06
5.517240e+02    3.811838e-06
5.602016e+02    3.685547e-06
5.688096e+02    3.565072e-06
5.954351e+02    3.222265e-06
6.045844e+02    3.115217e-06
6.138743e+02    3.010470e-06
6.233070e+02    2.909648e-06
6.328846e+02    2.810825e-06
6.524835e+02    2.624227e-06
6.625094e+02    2.533404e-06
6.830258e+02    2.363001e-06
6.935210e+02    2.279074e-06
7.149977e+02    2.123709e-06
7.259842e+02    2.048580e-06
7.371395e+02    1.976700e-06
7.484662e+02    1.906514e-06
7.599669e+02    1.838003e-06
7.716444e+02    1.772201e-06
7.835013e+02    1.707968e-06
7.955404e+02    1.645959e-06
8.077645e+02    1.586654e-06
8.201764e+02    1.527925e-06
8.455754e+02    1.416760e-06
8.585683e+02    1.364810e-06
8.717608e+02    1.313730e-06
8.851561e+02    1.264663e-06
8.987572e+02    1.216257e-06
9.125673e+02    1.170402e-06
9.265896e+02    1.126012e-06
9.552839e+02    1.040900e-06
9.699626e+02    1.000538e-06
9.848668e+02    9.613464e-07
1.000000e+03    9.240653e-07
