# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]
1.01536600e+01	5.03769237e+01	7.03249869e+01
1.02468604e+01	4.94403648e+01	6.91342598e+01
1.03409162e+01	4.85151667e+01	6.79487865e+01
1.04358354e+01	4.76219812e+01	6.67852773e+01
1.05316258e+01	4.67205972e+01	6.56581552e+01
1.06282955e+01	4.58109395e+01	6.45448005e+01
1.07258526e+01	4.49522017e+01	6.34212264e+01
1.08243051e+01	4.40982394e+01	6.23100160e+01
1.09236613e+01	4.32620783e+01	6.12360313e+01
1.10239295e+01	4.24423990e+01	6.01813331e+01
1.11251181e+01	4.16279495e+01	5.91323408e+01
1.12272354e+01	4.08414331e+01	5.81170544e+01
1.13302901e+01	4.00592179e+01	5.71065263e+01
1.14342908e+01	3.92936281e+01	5.61158093e+01
1.15392460e+01	3.85429116e+01	5.51428717e+01
1.16451647e+01	3.77972125e+01	5.41756157e+01
1.17520555e+01	3.70771268e+01	5.32391828e+01
1.18599276e+01	3.63610985e+01	5.23129944e+01
1.19687897e+01	3.56607488e+01	5.14184109e+01
1.20786512e+01	3.49740185e+01	5.05156160e+01
1.21895210e+01	3.42922085e+01	4.96045344e+01
1.23014085e+01	3.36339549e+01	4.87407715e+01
1.24143230e+01	3.29794538e+01	4.78816694e+01
1.25282740e+01	3.23395469e+01	4.70400610e+01
1.26432709e+01	3.17119399e+01	4.62134891e+01
1.27593234e+01	3.10890440e+01	4.53924458e+01
1.28764411e+01	3.04875438e+01	4.46282598e+01
1.29946339e+01	2.98933487e+01	4.38592959e+01
1.31139115e+01	2.93218705e+01	4.30832737e+01
1.32342840e+01	2.87451467e+01	4.23001284e+01
1.33557614e+01	2.81631292e+01	4.15097946e+01
1.34783538e+01	2.76135929e+01	4.07908977e+01
1.36020715e+01	2.70678432e+01	4.00687073e+01
1.37269248e+01	2.65348077e+01	3.93398881e+01
1.38529241e+01	2.60120052e+01	3.86335968e+01
1.39800800e+01	2.54936328e+01	3.79386496e+01
1.41084030e+01	2.49930352e+01	3.72655973e+01
1.42379040e+01	2.44954021e+01	3.65960236e+01
1.43685936e+01	2.40095098e+01	3.59412004e+01
1.45004828e+01	2.35328926e+01	3.53059638e+01
1.46335826e+01	2.30605224e+01	3.46809640e+01
1.47679041e+01	2.26043794e+01	3.40502274e+01
1.49034586e+01	2.21509936e+01	3.34284204e+01
1.50402573e+01	2.17085435e+01	3.28393789e+01
1.51783117e+01	2.12744405e+01	3.22449305e+01
