# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]
3.45285647e+02	6.04759284e-03	7.18609646e-02
3.46530535e+02	5.97009504e-03	7.13948789e-02
3.47779912e+02	5.89231783e-03	7.09271129e-02
3.49033794e+02	5.81426020e-03	7.04576603e-02
3.50292196e+02	5.73967059e-03	6.99994862e-02
3.51555135e+02	5.66529757e-03	6.95413398e-02
3.52822628e+02	5.59065640e-03	6.90815416e-02
3.54094690e+02	5.51574611e-03	6.86200856e-02
3.55371339e+02	5.44448095e-03	6.81663853e-02
3.56652591e+02	5.37508546e-03	6.77161656e-02
3.57938462e+02	5.30543977e-03	6.72643227e-02
3.59228969e+02	5.23554298e-03	6.68108507e-02
3.60524128e+02	5.16539419e-03	6.63644969e-02
3.61823958e+02	5.09499248e-03	6.59290825e-02
3.63128473e+02	5.02433694e-03	6.54920982e-02
3.64437692e+02	4.95342667e-03	6.50535385e-02
3.65751632e+02	4.88330291e-03	6.46133975e-02
3.67070308e+02	4.81787299e-03	6.41716697e-02
3.68393739e+02	4.75220717e-03	6.37283493e-02
3.69721941e+02	4.68630459e-03	6.32834305e-02
3.71054932e+02	4.62016442e-03	6.28369077e-02
3.72392729e+02	4.55733369e-03	6.24089072e-02
3.73735350e+02	4.49451489e-03	6.19807167e-02
3.75082811e+02	4.43146960e-03	6.15509824e-02
3.76435130e+02	4.36819701e-03	6.11196988e-02
3.77792324e+02	4.30725230e-03	6.06967183e-02
3.79154412e+02	4.24718497e-03	6.02764442e-02
3.80521411e+02	4.18690107e-03	5.98546548e-02
3.81893338e+02	4.12639983e-03	5.94313447e-02
3.83270212e+02	4.06732181e-03	5.90129014e-02
3.84652050e+02	4.00993788e-03	5.86003774e-02
3.86038870e+02	3.95234706e-03	5.81863661e-02
3.87430689e+02	3.89454861e-03	5.77708621e-02
3.88827527e+02	3.83768230e-03	5.73569572e-02
3.90229401e+02	3.78452725e-03	5.69521952e-02
3.91636330e+02	3.73118055e-03	5.65459738e-02
3.93048331e+02	3.67764151e-03	5.61382878e-02
3.94465422e+02	3.62390944e-03	5.57291319e-02
3.95887623e+02	3.56998366e-03	5.53384395e-02
3.97314952e+02	3.51586344e-03	5.49465659e-02
3.98747426e+02	3.46154811e-03	5.45532794e-02
4.00185066e+02	3.40703694e-03	5.41585749e-02
4.01627888e+02	3.35826069e-03	5.37624474e-02
4.03075912e+02	3.31127185e-03	5.33648917e-02
4.04529157e+02	3.26411360e-03	5.29659026e-02
4.05987642e+02	3.21678533e-03	5.25654751e-02
4.07451385e+02	3.16928642e-03	5.21739957e-02
4.08920405e+02	3.12161625e-03	5.17909253e-02
4.10394722e+02	3.07377422e-03	5.14064737e-02
4.11874354e+02	3.02575970e-03	5.10206360e-02
4.13359321e+02	2.97757207e-03	5.06370820e-02
4.14849642e+02	2.92921070e-03	5.02617299e-02
4.16345335e+02	2.88067498e-03	4.98850245e-02
4.17846422e+02	2.83196426e-03	4.95069609e-02
4.19352920e+02	2.78332434e-03	4.91280572e-02
4.20864850e+02	2.74037752e-03	4.87602407e-02
4.22382231e+02	2.69727586e-03	4.83910980e-02
4.23905083e+02	2.65401880e-03	4.80206244e-02
4.25433425e+02	2.61060578e-03	4.76488152e-02
4.26967278e+02	2.56928029e-03	4.72908948e-02
4.28506661e+02	2.52835628e-03	4.69354199e-02
4.30051593e+02	2.48728472e-03	4.65786634e-02
4.31602096e+02	2.44606508e-03	4.62206207e-02
4.33158189e+02	2.40623062e-03	4.58612871e-02
4.34719892e+02	2.36742996e-03	4.55006579e-02
4.36287226e+02	2.32848941e-03	4.51387285e-02
4.37860211e+02	2.28940846e-03	4.47754942e-02
4.39438867e+02	2.25104310e-03	4.44172226e-02
4.41023215e+02	2.21428857e-03	4.40704685e-02
4.42613274e+02	2.17740152e-03	4.37224643e-02
4.44209067e+02	2.14038147e-03	4.33732053e-02
4.45810613e+02	2.10345676e-03	4.30238205e-02
4.47417933e+02	2.06866058e-03	4.26843789e-02
4.49031048e+02	2.03373896e-03	4.23437135e-02
4.50649979e+02	1.99869142e-03	4.20018199e-02
4.52274747e+02	1.96351753e-03	4.16586936e-02
4.53905373e+02	1.93026214e-03	4.13247349e-02
4.55541878e+02	1.89723463e-03	4.09913414e-02
4.57184284e+02	1.86408805e-03	4.06567459e-02
4.58832610e+02	1.83082197e-03	4.03209440e-02
4.60486880e+02	1.79886038e-03	3.99913673e-02
4.62147114e+02	1.76766645e-03	3.96652110e-02
4.63813333e+02	1.73636005e-03	3.93378788e-02
4.65485560e+02	1.70494078e-03	3.90093665e-02
4.67163816e+02	1.67425049e-03	3.86842242e-02
4.68848123e+02	1.64482217e-03	3.83653319e-02
4.70538502e+02	1.61528776e-03	3.80452899e-02
4.72234976e+02	1.58564686e-03	3.77240940e-02
4.73937567e+02	1.55620438e-03	3.74042304e-02
4.75646295e+02	1.52847971e-03	3.70980917e-02
4.77361185e+02	1.50065507e-03	3.67908493e-02
4.79082257e+02	1.47273013e-03	3.64824992e-02
4.80809534e+02	1.44470450e-03	3.61730373e-02
4.82543039e+02	1.41926276e-03	3.58624597e-02
4.84282794e+02	1.39400663e-03	3.55507624e-02
4.86028821e+02	1.36865944e-03	3.52379413e-02
4.87781144e+02	1.34322086e-03	3.49239923e-02
4.89539784e+02	1.31769057e-03	3.46204459e-02
4.91304765e+02	1.29206823e-03	3.43215111e-02
4.93076109e+02	1.26635351e-03	3.40214985e-02
4.94853840e+02	1.24054608e-03	3.37204043e-02
4.96637980e+02	1.21588791e-03	3.34230514e-02
4.98428553e+02	1.19277513e-03	3.31309764e-02
5.00225581e+02	1.16957902e-03	3.28378484e-02
5.02029088e+02	1.14629928e-03	3.25436636e-02
5.03839098e+02	1.12328219e-03	3.22525958e-02
5.05655633e+02	1.10161378e-03	3.19777359e-02
5.07478718e+02	1.07986724e-03	3.17018849e-02
5.09308376e+02	1.05804229e-03	3.14250395e-02
5.11144630e+02	1.03613866e-03	3.11471959e-02
5.12987505e+02	1.01577142e-03	3.08683506e-02
5.14837023e+02	9.95401502e-04	3.05884999e-02
5.16693211e+02	9.74958146e-04	3.03076402e-02
5.18556090e+02	9.54441083e-04	3.00257680e-02
5.20425686e+02	9.35013711e-04	2.97428795e-02
5.22302023e+02	9.15967364e-04	2.94589710e-02
5.24185124e+02	8.96852348e-04	2.91740390e-02
5.26075015e+02	8.77668415e-04	2.88880797e-02
5.27971719e+02	8.59161384e-04	2.86115541e-02
5.29875262e+02	8.41384690e-04	2.83452116e-02
5.31785668e+02	8.23543903e-04	2.80779088e-02
5.33702962e+02	8.05638793e-04	2.78096423e-02
5.35627168e+02	7.88030014e-04	2.75429368e-02
5.37558311e+02	7.71461014e-04	2.72829990e-02
5.39496418e+02	7.54832276e-04	2.70221240e-02
5.41441512e+02	7.38143586e-04	2.67603085e-02
5.43393618e+02	7.21408222e-04	2.64976474e-02
5.45352763e+02	7.05989279e-04	2.62440841e-02
5.47318971e+02	6.90514744e-04	2.59896066e-02
5.49292269e+02	6.74984417e-04	2.57342117e-02
