# W0 [GeV]	Sigma_muLHC@7.5 TeV [pb]	Sigma_muLHC@5.3 TeV [pb]
2.44417356e+02	2.67255020e-01	1.76402742e-01
2.45298576e+02	2.66138255e-01	1.75597100e-01
2.46182972e+02	2.65024444e-01	1.74794048e-01
2.47070557e+02	2.63920266e-01	1.73998847e-01
2.47961343e+02	2.62812107e-01	1.73200779e-01
2.48855340e+02	2.61699953e-01	1.72399833e-01
2.49752560e+02	2.60587038e-01	1.71597683e-01
2.50653014e+02	2.59498872e-01	1.70807543e-01
2.51556716e+02	2.58406784e-01	1.70014554e-01
2.52463675e+02	2.57310758e-01	1.69218706e-01
2.53373905e+02	2.56210780e-01	1.68419988e-01
2.54287416e+02	2.55106837e-01	1.67632968e-01
2.55204221e+02	2.53998913e-01	1.66845398e-01
2.56124331e+02	2.52886995e-01	1.66054989e-01
2.57047759e+02	2.51771068e-01	1.65261729e-01
2.57974516e+02	2.50671854e-01	1.64476554e-01
2.58904614e+02	2.49581009e-01	1.63695056e-01
2.59838065e+02	2.48486232e-01	1.62910741e-01
2.60774882e+02	2.47387507e-01	1.62123599e-01
2.61715077e+02	2.46293635e-01	1.61340530e-01
2.62658661e+02	2.45209605e-01	1.60565450e-01
2.63605648e+02	2.44121667e-01	1.59787575e-01
2.64556048e+02	2.43029806e-01	1.59006896e-01
2.65509875e+02	2.41937511e-01	1.58226125e-01
2.66467142e+02	2.40860653e-01	1.57457603e-01
2.67427859e+02	2.39779912e-01	1.56686310e-01
2.68392040e+02	2.38695275e-01	1.55912236e-01
2.69359698e+02	2.37606728e-01	1.55135371e-01
2.70330844e+02	2.36535514e-01	1.54380500e-01
2.71305491e+02	2.35462385e-01	1.53625178e-01
2.72283653e+02	2.34385387e-01	1.52867132e-01
2.73265341e+02	2.33304505e-01	1.52106354e-01
2.74250569e+02	2.32235779e-01	1.51342833e-01
2.75239348e+02	2.31170798e-01	1.50576559e-01
2.76231693e+02	2.30101977e-01	1.49807522e-01
2.77227615e+02	2.29029303e-01	1.49035713e-01
2.78227129e+02	2.27963284e-01	1.48277433e-01
2.79230245e+02	2.26906728e-01	1.47537050e-01
2.80236979e+02	2.25846364e-01	1.46793998e-01
2.81247342e+02	2.24782176e-01	1.46048267e-01
2.82261347e+02	2.23719033e-01	1.45299848e-01
2.83279009e+02	2.22671033e-01	1.44548730e-01
2.84300340e+02	2.21619255e-01	1.43794903e-01
2.85325353e+02	2.20563685e-01	1.43038359e-01
2.86354061e+02	2.19504309e-01	1.42279088e-01
2.87386479e+02	2.18464412e-01	1.41544103e-01
2.88422619e+02	2.17421541e-01	1.40807368e-01
2.89462494e+02	2.16374911e-01	1.40067976e-01
2.90506119e+02	2.15324506e-01	1.39325919e-01
2.91553506e+02	2.14288348e-01	1.38594694e-01
2.92604669e+02	2.13255111e-01	1.37865820e-01
2.93659623e+02	2.12218149e-01	1.37134318e-01
2.94718380e+02	2.11177449e-01	1.36400178e-01
2.95780954e+02	2.10145276e-01	1.35672726e-01
2.96847359e+02	2.09122003e-01	1.34952243e-01
2.97917609e+02	2.08095041e-01	1.34229164e-01
2.98991717e+02	2.07064377e-01	1.33503477e-01
3.00069698e+02	2.06036259e-01	1.32780024e-01
3.01151566e+02	2.05022618e-01	1.32068045e-01
3.02237334e+02	2.04005322e-01	1.31353500e-01
3.03327017e+02	2.02984358e-01	1.30636378e-01
3.04420629e+02	2.01960190e-01	1.29917039e-01
3.05518183e+02	2.00956391e-01	1.29213686e-01
3.06619695e+02	1.99948974e-01	1.28507797e-01
3.07725178e+02	1.98937924e-01	1.27799364e-01
3.08834646e+02	1.97923228e-01	1.27088376e-01
3.09948115e+02	1.96924374e-01	1.26389590e-01
3.11065598e+02	1.95927353e-01	1.25692400e-01
3.12187110e+02	1.94926738e-01	1.24992697e-01
3.13312666e+02	1.93922516e-01	1.24290472e-01
3.14442280e+02	1.92928259e-01	1.23596039e-01
3.15575966e+02	1.91941771e-01	1.22907730e-01
3.16713740e+02	1.90951726e-01	1.22216940e-01
3.17855616e+02	1.89958112e-01	1.21523659e-01
3.19001609e+02	1.88968609e-01	1.20836543e-01
3.20151733e+02	1.87992844e-01	1.20166436e-01
3.21306004e+02	1.87013560e-01	1.19493912e-01
3.22464437e+02	1.86030745e-01	1.18818964e-01
3.23627046e+02	1.85046171e-01	1.18141582e-01
3.24793848e+02	1.84081409e-01	1.17461758e-01
3.25964855e+02	1.83113169e-01	1.16779483e-01
3.27140085e+02	1.82141439e-01	1.16094748e-01
3.28319552e+02	1.81166204e-01	1.15407544e-01
3.29503271e+02	1.80208333e-01	1.14741656e-01
3.30691258e+02	1.79251173e-01	1.14078113e-01
3.31883529e+02	1.78290561e-01	1.13412177e-01
3.33080098e+02	1.77326487e-01	1.12743840e-01
3.34280981e+02	1.76373783e-01	1.12089760e-01
3.35486193e+02	1.75427690e-01	1.11444599e-01
3.36695751e+02	1.74478186e-01	1.10797111e-01
3.37909670e+02	1.73525258e-01	1.10147290e-01
3.39127965e+02	1.72577766e-01	1.09495125e-01
3.40350653e+02	1.71642674e-01	1.08840609e-01
3.41577749e+02	1.70704210e-01	1.08183733e-01
3.42809270e+02	1.69762364e-01	1.07524490e-01
3.44045230e+02	1.68821641e-01	1.06866326e-01
3.45285647e+02	1.67909915e-01	1.06230564e-01
3.46530535e+02	1.66994903e-01	1.05592509e-01
3.47779912e+02	1.66076591e-01	1.04952155e-01
3.49033794e+02	1.65154969e-01	1.04309491e-01
3.50292196e+02	1.64230024e-01	1.03689166e-01
3.51555135e+02	1.63301744e-01	1.03069796e-01
3.52822628e+02	1.62370117e-01	1.02448194e-01
3.54094690e+02	1.61435131e-01	1.01824350e-01
3.55371339e+02	1.60521179e-01	1.01198257e-01
3.56652591e+02	1.59617188e-01	1.00569907e-01
3.57938462e+02	1.58709938e-01	9.99392916e-02
3.59228969e+02	1.57799416e-01	9.93064023e-02
3.60524128e+02	1.56900678e-01	9.86827036e-02
3.61823958e+02	1.56020299e-01	9.80732028e-02
3.63128473e+02	1.55136745e-01	9.74615046e-02
3.64437692e+02	1.54250006e-01	9.68476009e-02
3.65751632e+02	1.53360070e-01	9.62346161e-02
3.67070308e+02	1.52466926e-01	9.56342887e-02
3.68393739e+02	1.51570561e-01	9.50317969e-02
3.69721941e+02	1.50670964e-01	9.44271328e-02
3.71054932e+02	1.49768125e-01	9.38202887e-02
3.72392729e+02	1.48896661e-01	9.32364208e-02
3.73735350e+02	1.48024382e-01	9.26521390e-02
3.75082811e+02	1.47148959e-01	9.20657506e-02
3.76435130e+02	1.46270379e-01	9.14772481e-02
3.77792324e+02	1.45405595e-01	9.08866239e-02
3.79154412e+02	1.44544974e-01	9.02938701e-02
3.80521411e+02	1.43681250e-01	8.96989793e-02
3.81893338e+02	1.42814412e-01	8.91019437e-02
3.83270212e+02	1.41955711e-01	8.85153645e-02
3.84652050e+02	1.41107001e-01	8.79413209e-02
3.86038870e+02	1.40255231e-01	8.73652077e-02
3.87430689e+02	1.39400389e-01	8.67870174e-02
3.88827527e+02	1.38547960e-01	8.62107594e-02
3.90229401e+02	1.37711320e-01	8.56462170e-02
3.91636330e+02	1.36871663e-01	8.50796392e-02
3.93048331e+02	1.36028979e-01	8.45110186e-02
3.94465422e+02	1.35183257e-01	8.39403480e-02
