# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
2.24830961e+01	8.65350185e+00	1.16789705e+01	2.05096473e+01
2.26894682e+01	8.46919520e+00	1.14484524e+01	2.01338159e+01
2.28977347e+01	8.28804061e+00	1.12244359e+01	1.97636559e+01
2.31079128e+01	8.10922829e+00	1.10054886e+01	1.93976400e+01
2.33200201e+01	7.93642451e+00	1.07933131e+01	1.90423126e+01
2.35340744e+01	7.76484836e+00	1.05833693e+01	1.86889514e+01
2.37500935e+01	7.59832912e+00	1.03826838e+01	1.83447523e+01
2.39680954e+01	7.43461863e+00	1.01801562e+01	1.80094621e+01
2.41880983e+01	7.27308991e+00	9.97576955e+00	1.76813461e+01
2.44101207e+01	7.11687806e+00	9.78166875e+00	1.73502183e+01
2.46341810e+01	6.96178123e+00	9.58935457e+00	1.70205586e+01
2.48602979e+01	6.81135313e+00	9.40228915e+00	1.67055381e+01
2.50884904e+01	6.66347804e+00	9.21811003e+00	1.63951835e+01
2.53187775e+01	6.51767864e+00	9.03625771e+00	1.60885755e+01
2.55511783e+01	6.37664116e+00	8.85997742e+00	1.57907787e+01
2.57857124e+01	6.23660276e+00	8.68478057e+00	1.54946897e+01
2.60223992e+01	6.10078457e+00	8.51442442e+00	1.52066624e+01
2.62612586e+01	5.96724431e+00	8.34665262e+00	1.49228145e+01
2.65023105e+01	5.83563773e+00	8.18105909e+00	1.46424774e+01
2.67455749e+01	5.70841353e+00	8.02053246e+00	1.43701144e+01
2.69910724e+01	5.58212686e+00	7.86100553e+00	1.40992828e+01
2.72388232e+01	5.45974571e+00	7.70595015e+00	1.38357739e+01
2.74888481e+01	5.33936822e+00	7.55318064e+00	1.35760109e+01
2.77411680e+01	5.22076509e+00	7.40242416e+00	1.33195398e+01
2.79958040e+01	5.10835546e+00	7.25629256e+00	1.30704903e+01
2.82527772e+01	4.99617616e+00	7.11110069e+00	1.28228999e+01
2.85121092e+01	4.88296717e+00	6.97010066e+00	1.25821768e+01
2.87738217e+01	4.77304706e+00	6.83114481e+00	1.23473889e+01
2.90379363e+01	4.66621124e+00	6.69407080e+00	1.21181490e+01
2.93044753e+01	4.56288134e+00	6.56602418e+00	1.18868049e+01
2.95734608e+01	4.46032922e+00	6.43868067e+00	1.16569475e+01
2.98449154e+01	4.36106413e+00	6.31016827e+00	1.14418133e+01
3.01188616e+01	4.26338472e+00	6.18047626e+00	1.12247043e+01
3.03953224e+01	4.16723429e+00	6.04959381e+00	1.10056025e+01
3.06743208e+01	4.07605927e+00	5.92769832e+00	1.08006404e+01
3.09558802e+01	3.98517244e+00	5.80759761e+00	1.05968989e+01
3.12400239e+01	3.89345135e+00	5.69106856e+00	1.03912873e+01
3.15267758e+01	3.80434790e+00	5.57747106e+00	1.01907316e+01
3.18161599e+01	3.71787863e+00	5.46682336e+00	9.99526323e+00
3.21082001e+01	3.63422381e+00	5.35516004e+00	9.80540019e+00
3.24029210e+01	3.55152585e+00	5.24375886e+00	9.61670329e+00
3.27003472e+01	3.47317829e+00	5.13793083e+00	9.43353377e+00
3.30005034e+01	3.39411157e+00	5.03360024e+00	9.25276844e+00
3.33034147e+01	3.31431910e+00	4.93084214e+00	9.07453081e+00
3.36091065e+01	3.23876248e+00	4.83109054e+00	8.90441642e+00
3.39176042e+01	3.16443100e+00	4.73198557e+00	8.73480417e+00
3.42289336e+01	3.09409276e+00	4.63588673e+00	8.56363504e+00
3.45431207e+01	3.02310889e+00	4.54112351e+00	8.39662002e+00
3.48601917e+01	2.95147346e+00	4.44782494e+00	8.23409874e+00
3.51801732e+01	2.88364351e+00	4.35729206e+00	8.07613862e+00
3.55030917e+01	2.81669078e+00	4.26736455e+00	7.91914437e+00
3.58289743e+01	2.75202503e+00	4.18020890e+00	7.76680816e+00
3.61578481e+01	2.68834011e+00	4.09516549e+00	7.61643990e+00
3.64897407e+01	2.62577295e+00	4.01249030e+00	7.46833117e+00
3.68246797e+01	2.56521959e+00	3.92905623e+00	7.32432655e+00
3.71626932e+01	2.50514932e+00	3.84571530e+00	7.18119547e+00
3.75038092e+01	2.44715817e+00	3.76674637e+00	7.04231670e+00
3.78480564e+01	2.39004063e+00	3.68882450e+00	6.90520113e+00
3.81954634e+01	2.33396027e+00	3.61215532e+00	6.77020100e+00
3.85460592e+01	2.27968478e+00	3.53771120e+00	6.63890583e+00
3.88998732e+01	2.22584991e+00	3.46377403e+00	6.50842188e+00
3.92569348e+01	2.17391098e+00	3.39220693e+00	6.38193152e+00
3.96172739e+01	2.12274249e+00	3.32371983e+00	6.25703200e+00
3.99809205e+01	2.07252720e+00	3.25886744e+00	6.13412558e+00
4.03479050e+01	2.02391764e+00	3.19341977e+00	6.01459020e+00
4.07182581e+01	1.97570726e+00	3.12737136e+00	5.89579972e+00
4.10920107e+01	1.92922526e+00	3.06071668e+00	5.78065629e+00
4.14691939e+01	1.88342320e+00	2.99345019e+00	5.66692774e+00
4.18498393e+01	1.83849753e+00	2.92556626e+00	5.55505190e+00
4.22339786e+01	1.79500343e+00	2.86346420e+00	5.44626833e+00
4.26216440e+01	1.75187189e+00	2.80283358e+00	5.33818341e+00
4.30128677e+01	1.71031611e+00	2.74419528e+00	5.23347831e+00
4.34076824e+01	1.66936072e+00	2.68631390e+00	5.13000643e+00
4.38061212e+01	1.62921148e+00	2.62946056e+00	5.02822666e+00
4.42082172e+01	1.59033137e+00	2.57423394e+00	4.92919512e+00
4.46140041e+01	1.55177785e+00	2.51939588e+00	4.83079986e+00
4.50235156e+01	1.51465441e+00	2.46638574e+00	4.73557661e+00
4.54367861e+01	1.47805750e+00	2.41457251e+00	4.64146500e+00
4.58538500e+01	1.44219742e+00	2.36436595e+00	4.54894562e+00
4.62747421e+01	1.40746432e+00	2.31369854e+00	4.45890562e+00
4.66994976e+01	1.37302668e+00	2.26297100e+00	4.36944161e+00
4.71281519e+01	1.33989172e+00	2.21505619e+00	4.28284283e+00
4.75607408e+01	1.30722616e+00	2.16820088e+00	4.19723149e+00
4.79973005e+01	1.27524383e+00	2.12282088e+00	4.11309942e+00
4.84378673e+01	1.24427099e+00	2.07702435e+00	4.03124880e+00
4.88824781e+01	1.21356615e+00	2.03115516e+00	3.94994550e+00
4.93311699e+01	1.18402963e+00	1.98788390e+00	3.87133179e+00
4.97839803e+01	1.15489885e+00	1.94513406e+00	3.79358257e+00
5.02409471e+01	1.12638455e+00	1.90319140e+00	3.71719091e+00
5.07021083e+01	1.09930003e+00	1.86315718e+00	3.64281352e+00
5.11675025e+01	1.07248631e+00	1.82345972e+00	3.56892466e+00
5.16371686e+01	1.04542646e+00	1.78339788e+00	3.49751284e+00
5.21111458e+01	1.01904356e+00	1.74422179e+00	3.42819362e+00
5.25894735e+01	9.93660241e-01	1.70636822e+00	3.36192590e+00
5.30721919e+01	9.69075292e-01	1.66956774e+00	3.29504991e+00
5.35593411e+01	9.44710587e-01	1.63303731e+00	3.22756006e+00
5.40509618e+01	9.21309323e-01	1.59780699e+00	3.15945073e+00
5.45470952e+01	8.98463077e-01	1.56298173e+00	3.09340589e+00
5.50477825e+01	8.76468855e-01	1.52884149e+00	3.03046441e+00
5.55530656e+01	8.54272748e-01	1.49565486e+00	2.96918335e+00
5.60629868e+01	8.32022866e-01	1.46271749e+00	2.90831959e+00
