# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]
2.45298576e+02	1.72022525e-02	1.75597100e-01
2.46182972e+02	1.70413563e-02	1.74794048e-01
2.47070557e+02	1.68858936e-02	1.73998847e-01
2.47961343e+02	1.67298705e-02	1.73200779e-01
2.48855340e+02	1.65732848e-02	1.72399833e-01
2.49752560e+02	1.64167475e-02	1.71597683e-01
2.50653014e+02	1.62650717e-02	1.70807543e-01
2.51556716e+02	1.61128491e-02	1.70014554e-01
2.52463675e+02	1.59600777e-02	1.69218706e-01
2.53373905e+02	1.58067554e-02	1.68419988e-01
2.54287416e+02	1.56580732e-02	1.67632968e-01
2.55204221e+02	1.55096696e-02	1.66845398e-01
2.56124331e+02	1.53607310e-02	1.66054989e-01
2.57047759e+02	1.52112553e-02	1.65261729e-01
2.57974516e+02	1.50649948e-02	1.64476554e-01
2.58904614e+02	1.49204397e-02	1.63695056e-01
2.59838065e+02	1.47753634e-02	1.62910741e-01
2.60774882e+02	1.46297640e-02	1.62123599e-01
2.61715077e+02	1.44870680e-02	1.61340530e-01
2.62658661e+02	1.43492199e-02	1.60565450e-01
2.63605648e+02	1.42108748e-02	1.59787575e-01
2.64556048e+02	1.40720309e-02	1.59006896e-01
2.65509875e+02	1.39326865e-02	1.58226125e-01
2.66467142e+02	1.37928396e-02	1.57457603e-01
2.67427859e+02	1.36524885e-02	1.56686310e-01
2.68392040e+02	1.35116315e-02	1.55912236e-01
2.69359698e+02	1.33702665e-02	1.55135371e-01
2.70330844e+02	1.32364947e-02	1.54380500e-01
2.71305491e+02	1.31029826e-02	1.53625178e-01
2.72283653e+02	1.29689891e-02	1.52867132e-01
2.73265341e+02	1.28345126e-02	1.52106354e-01
2.74250569e+02	1.27034858e-02	1.51342833e-01
2.75239348e+02	1.25738491e-02	1.50576559e-01
2.76231693e+02	1.24437450e-02	1.49807522e-01
2.77227615e+02	1.23131718e-02	1.49035713e-01
2.78227129e+02	1.21846680e-02	1.48277433e-01
2.79230245e+02	1.20589136e-02	1.47537050e-01
2.80236979e+02	1.19327057e-02	1.46793998e-01
2.81247342e+02	1.18060428e-02	1.46048267e-01
2.82261347e+02	1.16800829e-02	1.45299848e-01
2.83279009e+02	1.15581776e-02	1.44548730e-01
2.84300340e+02	1.14358327e-02	1.43794903e-01
2.85325353e+02	1.13130468e-02	1.43038359e-01
2.86354061e+02	1.11898181e-02	1.42279088e-01
2.87386479e+02	1.10740832e-02	1.41544103e-01
2.88422619e+02	1.09581952e-02	1.40807368e-01
2.89462494e+02	1.08418894e-02	1.40067976e-01
2.90506119e+02	1.07251643e-02	1.39325919e-01
2.91553506e+02	1.06080183e-02	1.38594694e-01
2.92604669e+02	1.04904500e-02	1.37865820e-01
2.93659623e+02	1.03724578e-02	1.37134318e-01
2.94718380e+02	1.02540402e-02	1.36400178e-01
2.95780954e+02	1.01392429e-02	1.35672726e-01
2.96847359e+02	1.00281915e-02	1.34952243e-01
2.97917609e+02	9.91673971e-03	1.34229164e-01
2.98991717e+02	9.80488612e-03	1.33503477e-01
