# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
4.13133568e+02	2.81067613e-05	3.72099930e-04	1.47676185e-03
4.13990290e+02	2.78618437e-05	3.70376134e-04	1.47117426e-03
4.14848788e+02	2.76164182e-05	3.68648764e-04	1.46557508e-03
4.15709067e+02	2.73704838e-05	3.66917812e-04	1.45996429e-03
4.16571130e+02	2.71240393e-05	3.65183271e-04	1.45434187e-03
4.17434980e+02	2.68770838e-05	3.63445132e-04	1.44870779e-03
4.18300622e+02	2.66296162e-05	3.61703390e-04	1.44306202e-03
4.19168059e+02	2.63816354e-05	3.59958035e-04	1.43740455e-03
4.20037294e+02	2.61485880e-05	3.58229022e-04	1.43176062e-03
4.20908333e+02	2.59176315e-05	3.56499750e-04	1.42610920e-03
4.21781177e+02	2.56861961e-05	3.54766893e-04	1.42044606e-03
4.22655832e+02	2.54542807e-05	3.53030441e-04	1.41477118e-03
4.23532300e+02	2.52218845e-05	3.51290389e-04	1.40908453e-03
4.24410586e+02	2.49890063e-05	3.49546729e-04	1.40338609e-03
4.25290693e+02	2.47556452e-05	3.47799453e-04	1.39767583e-03
4.26172626e+02	2.45272138e-05	3.46063811e-04	1.39198033e-03
4.27056387e+02	2.43038088e-05	3.44340072e-04	1.38630003e-03
4.27941981e+02	2.40799406e-05	3.42612759e-04	1.38060796e-03
4.28829411e+02	2.38556082e-05	3.40881863e-04	1.37490408e-03
4.29718682e+02	2.36308105e-05	3.39147379e-04	1.36918838e-03
4.30609797e+02	2.34055467e-05	3.37409297e-04	1.36346082e-03
4.31502759e+02	2.31798157e-05	3.35667611e-04	1.35772138e-03
4.32397574e+02	2.29551869e-05	3.33927250e-04	1.35198003e-03
4.33294244e+02	2.27401476e-05	3.32214893e-04	1.34629071e-03
4.34192773e+02	2.25246624e-05	3.30498984e-04	1.34058959e-03
4.35093166e+02	2.23087303e-05	3.28779517e-04	1.33487665e-03
4.35995426e+02	2.20923505e-05	3.27056485e-04	1.32915186e-03
4.36899557e+02	2.18755220e-05	3.25329879e-04	1.32341520e-03
4.37805562e+02	2.16582438e-05	3.23599693e-04	1.31766665e-03
4.38713447e+02	2.14405150e-05	3.21865919e-04	1.31190617e-03
4.39623214e+02	2.12316390e-05	3.20199944e-04	1.30620537e-03
4.40534868e+02	2.10250460e-05	3.18551356e-04	1.30051367e-03
4.41448413e+02	2.08180247e-05	3.16899351e-04	1.29481016e-03
4.42363852e+02	2.06105740e-05	3.15243919e-04	1.28909482e-03
4.43281189e+02	2.04026932e-05	3.13585054e-04	1.28336763e-03
4.44200428e+02	2.01943813e-05	3.11922749e-04	1.27762856e-03
4.45121574e+02	1.99856374e-05	3.10256998e-04	1.27187759e-03
4.46044630e+02	1.97814936e-05	3.08587791e-04	1.26616017e-03
4.46969600e+02	1.95840817e-05	3.06915124e-04	1.26049552e-03
