# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
2.63381493e+02	8.97504368e-05	4.97872525e-04	1.55167131e-03
2.64216207e+02	8.85956857e-05	4.93390165e-04	1.53983409e-03
2.65053566e+02	8.74372750e-05	4.88893600e-04	1.52795936e-03
2.65893579e+02	8.62751930e-05	4.84543953e-04	1.51643253e-03
2.66736255e+02	8.51094282e-05	4.80275006e-04	1.50509520e-03
2.67581600e+02	8.39399687e-05	4.75992530e-04	1.49372193e-03
2.68429625e+02	8.27668030e-05	4.71696481e-04	1.48231262e-03
2.69280338e+02	8.15899193e-05	4.67386818e-04	1.47086715e-03
2.70133747e+02	8.05128860e-05	4.63352595e-04	1.45986036e-03
2.70989860e+02	7.94565193e-05	4.59372797e-04	1.44892911e-03
2.71848686e+02	7.83968049e-05	4.55380385e-04	1.43796321e-03
2.72710235e+02	7.73337319e-05	4.51375320e-04	1.42696256e-03
2.73574514e+02	7.62672898e-05	4.47357563e-04	1.41592704e-03
2.74441531e+02	7.52746545e-05	4.43327072e-04	1.40541806e-03
2.75311297e+02	7.42794661e-05	4.39283808e-04	1.39488008e-03
2.76183819e+02	7.32811237e-05	4.35227730e-04	1.38430871e-03
2.77059106e+02	7.22796173e-05	4.31158797e-04	1.37370384e-03
2.77937168e+02	7.12876601e-05	4.27136685e-04	1.36315896e-03
2.78818012e+02	7.03533970e-05	4.23387370e-04	1.35302826e-03
2.79701647e+02	6.94161730e-05	4.19626172e-04	1.34286546e-03
2.80588083e+02	6.84759788e-05	4.15853054e-04	1.33267045e-03
2.81477329e+02	6.75328049e-05	4.12067979e-04	1.32244313e-03
2.82369392e+02	6.66111407e-05	4.08346393e-04	1.31236446e-03
2.83264283e+02	6.57313377e-05	4.04750995e-04	1.30258483e-03
2.84162010e+02	6.48487465e-05	4.01144203e-04	1.29277421e-03
2.85062582e+02	6.39633581e-05	3.97525981e-04	1.28293249e-03
2.85966008e+02	6.30751637e-05	3.93896291e-04	1.27305958e-03
2.86872297e+02	6.22344261e-05	3.90364149e-04	1.26342024e-03
2.87781459e+02	6.14348113e-05	3.86915797e-04	1.25398103e-03
2.88693502e+02	6.06326624e-05	3.83456516e-04	1.24451191e-03
2.89608435e+02	5.98279712e-05	3.79986272e-04	1.23501278e-03
2.90526268e+02	5.90207299e-05	3.76505031e-04	1.22548354e-03
2.91447009e+02	5.82109302e-05	3.73152073e-04	1.21626638e-03
2.92370669e+02	5.73985640e-05	3.69843937e-04	1.20715622e-03
2.93297256e+02	5.65836233e-05	3.66525316e-04	1.19801720e-03
2.94226780e+02	5.57660999e-05	3.63196178e-04	1.18884921e-03
2.95159249e+02	5.49459856e-05	3.59856489e-04	1.17965216e-03
2.96094674e+02	5.42039593e-05	3.56673088e-04	1.17102423e-03
2.97033063e+02	5.34689192e-05	3.53498909e-04	1.16243819e-03
2.97974426e+02	5.27315495e-05	3.50314671e-04	1.15382494e-03
2.98918773e+02	5.19918430e-05	3.47120341e-04	1.14518439e-03
2.99866112e+02	5.12539979e-05	3.43929491e-04	1.13651646e-03
3.00816454e+02	5.05641145e-05	3.40891216e-04	1.12782106e-03
3.01769807e+02	4.98720447e-05	3.37843313e-04	1.11909809e-03
3.02726182e+02	4.91777816e-05	3.34785749e-04	1.11034749e-03
3.03685588e+02	4.84813182e-05	3.31718496e-04	1.10156915e-03
3.04648035e+02	4.77958563e-05	3.28684881e-04	1.09293019e-03
3.05613531e+02	4.71462428e-05	3.25766458e-04	1.08474510e-03
3.06582088e+02	4.64945705e-05	3.22838785e-04	1.07653408e-03
3.07553714e+02	4.58408329e-05	3.19901835e-04	1.06829703e-03
3.08528419e+02	4.51850235e-05	3.16955577e-04	1.06003388e-03
3.09506214e+02	4.45483095e-05	3.14071231e-04	1.05192103e-03
3.10487107e+02	4.39366918e-05	3.11268986e-04	1.04400847e-03
3.11471109e+02	4.33231357e-05	3.08457859e-04	1.03607083e-03
3.12458230e+02	4.27076352e-05	3.05637824e-04	1.02810803e-03
3.13448479e+02	4.20901840e-05	3.02808851e-04	1.02012000e-03
3.14441866e+02	4.14989883e-05	3.00066725e-04	1.01234646e-03
3.15438401e+02	4.09232604e-05	2.97374802e-04	1.00469570e-03
3.16438095e+02	4.03457079e-05	2.94674348e-04	9.97020683e-04
3.17440957e+02	3.97663249e-05	2.91965335e-04	9.89321347e-04
3.18446997e+02	3.91851058e-05	2.89247737e-04	9.81597610e-04
3.19456226e+02	3.86363130e-05	2.86639335e-04	9.74147453e-04
3.20468653e+02	3.80943304e-05	2.84052058e-04	9.66748045e-04
3.21484289e+02	3.75506302e-05	2.81456582e-04	9.59325188e-04
3.22503143e+02	3.70052068e-05	2.78852880e-04	9.51878805e-04
3.23525227e+02	3.64580549e-05	2.76240926e-04	9.44408823e-04
3.24550549e+02	3.59487489e-05	2.73759723e-04	9.37265468e-04
3.25579121e+02	3.54385815e-05	2.71273301e-04	9.30106136e-04
3.26610953e+02	3.49267972e-05	2.68778999e-04	9.22924113e-04
3.27646055e+02	3.44133910e-05	2.66276791e-04	9.15719330e-04
3.28684438e+02	3.39045460e-05	2.63788614e-04	9.08547076e-04
3.29726111e+02	3.34261057e-05	2.61406166e-04	9.01638531e-04
3.30771086e+02	3.29461492e-05	2.59016167e-04	8.94708092e-04
3.31819372e+02	3.24646716e-05	2.56618594e-04	8.87755689e-04
3.32870981e+02	3.19816680e-05	2.54213422e-04	8.80781252e-04
3.33925922e+02	3.15094871e-05	2.51884827e-04	8.73898436e-04
3.34984207e+02	3.10595093e-05	2.49710384e-04	8.67211987e-04
3.36045845e+02	3.06081055e-05	2.47529050e-04	8.60504347e-04
3.37110849e+02	3.01552710e-05	2.45340802e-04	8.53775449e-04
3.38179227e+02	2.97010015e-05	2.43145620e-04	8.47025225e-04
3.39250992e+02	2.92630306e-05	2.40943481e-04	8.40421522e-04
3.40326153e+02	2.88398251e-05	2.38734363e-04	8.33949799e-04
3.41404721e+02	2.84152783e-05	2.36518243e-04	8.27457565e-04
3.42486708e+02	2.79893860e-05	2.34295100e-04	8.20944756e-04
3.43572124e+02	2.75621440e-05	2.32064912e-04	8.14411307e-04
3.44660979e+02	2.71561446e-05	2.29827655e-04	8.08074082e-04
3.45753286e+02	2.67583466e-05	2.27583308e-04	8.01807858e-04
3.46849054e+02	2.63592878e-05	2.25331849e-04	7.95521775e-04
3.47948295e+02	2.59589643e-05	2.23073254e-04	7.89215771e-04
3.49051020e+02	2.55573721e-05	2.20807501e-04	7.82889781e-04
3.50157239e+02	2.51813101e-05	2.18749791e-04	7.76806793e-04
3.51266965e+02	2.48075305e-05	2.16713457e-04	7.70738623e-04
3.52380207e+02	2.44325663e-05	2.14670670e-04	7.64651222e-04
3.53496977e+02	2.40564137e-05	2.12621408e-04	7.58544529e-04
3.54617287e+02	2.36818014e-05	2.10572961e-04	7.52446165e-04
3.55741147e+02	2.33445983e-05	2.08621267e-04	7.46719497e-04
3.56868569e+02	2.30063265e-05	2.06663387e-04	7.40974680e-04
3.57999564e+02	2.26669826e-05	2.04699302e-04	7.35211657e-04
3.59134144e+02	2.23265633e-05	2.02728993e-04	7.29430369e-04
3.60272319e+02	2.19850652e-05	2.00778496e-04	7.23630760e-04
3.61414101e+02	2.16424847e-05	1.98901359e-04	7.17812770e-04
3.62559502e+02	2.12988185e-05	1.97018274e-04	7.11976341e-04
3.63708533e+02	2.09540632e-05	1.95129220e-04	7.06121416e-04
3.64861205e+02	2.06082153e-05	1.93234180e-04	7.00247935e-04
3.66017531e+02	2.02782594e-05	1.91376228e-04	6.94531059e-04
3.67177521e+02	1.99700074e-05	1.89570099e-04	6.89030710e-04
3.68341187e+02	1.96607786e-05	1.87758245e-04	6.83512929e-04
3.69508542e+02	1.93505697e-05	1.85940649e-04	6.77977661e-04
3.70679595e+02	1.90393778e-05	1.84117293e-04	6.72424850e-04
3.71854361e+02	1.87418384e-05	1.82347921e-04	6.67011204e-04
3.73032849e+02	1.84527837e-05	1.80611430e-04	6.61681357e-04
3.74215072e+02	1.81628128e-05	1.78869436e-04	6.56334619e-04
3.75401042e+02	1.78719230e-05	1.77121920e-04	6.50970935e-04
3.76590771e+02	1.75801113e-05	1.75368867e-04	6.45590253e-04
3.77784270e+02	1.73052298e-05	1.73685137e-04	6.40482512e-04
3.78981551e+02	1.70342456e-05	1.72016069e-04	6.35436031e-04
3.80182627e+02	1.67624027e-05	1.70341711e-04	6.30373556e-04
3.81387510e+02	1.64896981e-05	1.68662046e-04	6.25295037e-04
3.82596211e+02	1.62161294e-05	1.66977058e-04	6.20200423e-04
3.83808742e+02	1.59624411e-05	1.65375043e-04	6.15089663e-04
3.85025117e+02	1.57085836e-05	1.63770654e-04	6.09962706e-04
3.86245346e+02	1.54539216e-05	1.62161179e-04	6.04819500e-04
3.87469442e+02	1.51984526e-05	1.60546604e-04	5.99659995e-04
3.88697418e+02	1.49465943e-05	1.58940105e-04	5.94538785e-04
3.89929286e+02	1.47188083e-05	1.57402743e-04	5.89708809e-04
