bin_lower_edge,SM_events,EFT_events
0,470.229,466.847
10,1441.09,1449.27
20,1954.64,1949.59
30,1830.69,1841.6
40,1468.11,1463.22
50,1095.85,1102.17
60,795.995,793.908
70,572.537,574.409
80,417.903,417.213
90,303.512,302.934
100,226.041,228.409
110,169.175,168.574
120,127.567,129.323
130,98.0416,98.0348
140,75.9689,77.2786
150,330.34,360.519
