bin_lo_GeV,bin_hi_GeV,SM_dsig_pb_per_GeV,EFT_dsig_pb_per_GeV,ratio,ratio_stat
160,184,0.000919512,0.00091449,0.994539,0.00515527
184,208,0.00115787,0.00115418,0.99681,0.00460189
208,232,0.001083,0.00107972,0.996973,0.00475888
232,256,0.000960858,0.000970265,1.00979,0.00510057
256,280,0.000847453,0.000846485,0.998858,0.0053873
280,304,0.000740848,0.000738317,0.996583,0.00575213
304,328,0.000642342,0.000646419,1.00635,0.00622243
328,352,0.000559061,0.00056227,1.00574,0.00666682
352,376,0.000492661,0.000494883,1.00451,0.00709542
376,400,0.000433207,0.000434703,1.00345,0.00756075
400,424,0.000386814,0.000386576,0.999387,0.00797718
424,448,0.000342451,0.000343196,1.00217,0.00849573
448,472,0.00030352,0.000308713,1.01711,0.00912417
472,496,0.000274129,0.000271429,0.99015,0.00941077
496,520,0.000241158,0.000246451,1.02195,0.0102725
520,544,0.000220851,0.000221523,1.00304,0.010586
544,568,0.000197456,0.000201152,1.01871,0.0113256
568,592,0.000177726,0.00017842,1.0039,0.0118081
592,616,0.000163067,0.000163867,1.00491,0.0123367
616,640,0.000147218,0.000149605,1.01621,0.0130924
640,664,0.000134433,0.000134686,1.00188,0.0135566
664,688,0.00012148,0.000124778,1.02715,0.0145284
688,712,0.000113718,0.000110831,0.974613,0.0144409
712,736,0.000102483,0.000101213,0.987609,0.015362
736,760,9.42522e-05,9.38421e-05,0.995649,0.0161155
760,784,8.60574e-05,8.39341e-05,0.975327,0.0166093
784,808,7.77304e-05,7.70805e-05,0.991639,0.0176926
808,832,7.29962e-05,7.13755e-05,0.977798,0.0180679
832,856,6.61231e-05,6.46734e-05,0.978076,0.0189877
856,880,6.16773e-05,5.96374e-05,0.966926,0.019494
880,904,5.62221e-05,5.59771e-05,0.995642,0.0208658
904,928,5.14758e-05,5.22411e-05,1.01487,0.0221192
928,952,4.89285e-05,4.78614e-05,0.97819,0.0220753
952,976,4.48311e-05,4.40875e-05,0.983413,0.0231533
976,1000,4.23558e-05,4.15e-05,0.979796,0.0237552
1000,1024,3.6456e-05,3.75242e-05,1.0293,0.0265623
1024,1048,3.47137e-05,3.43436e-05,0.989336,0.0264294
1048,1072,3.34761e-05,3.09483e-05,0.92449,0.0255997
1072,1096,2.97512e-05,3.06707e-05,1.0309,0.0294377
1096,1120,2.73601e-05,2.82852e-05,1.03381,0.0307618
1120,1144,2.69996e-05,2.65181e-05,0.982168,0.0298068
1144,1168,2.43321e-05,2.48016e-05,1.0193,0.032277
1168,1192,2.32266e-05,2.29462e-05,0.987927,0.0322764
1192,1216,2.08595e-05,2.33122e-05,1.11758,0.037359
1216,1240,1.8961e-05,2.08005e-05,1.09702,0.0386379
1240,1264,1.81079e-05,1.96519e-05,1.08527,0.0392177
1264,1288,1.69664e-05,1.8617e-05,1.09729,0.0408536
1288,1312,1.57287e-05,1.80868e-05,1.14992,0.0439653
1312,1336,1.45031e-05,1.67363e-05,1.15398,0.0459083
1336,1360,1.38783e-05,1.65975e-05,1.19593,0.0482282
1360,1384,1.23763e-05,1.55878e-05,1.25948,0.0531465
1384,1408,1.14511e-05,1.56761e-05,1.36896,0.0589524
1408,1432,1.07542e-05,1.34547e-05,1.25111,0.0567212
1432,1456,1.00693e-05,1.38333e-05,1.37382,0.063042
1456,1480,9.55259e-06,1.36945e-05,1.43359,0.0669277
1480,1504,8.8797e-06,1.2142e-05,1.36739,0.0668861
1504,1528,8.71148e-06,1.25586e-05,1.44161,0.0703933
1528,1552,7.93045e-06,1.23187e-05,1.55335,0.0782823
1552,1576,7.26958e-06,1.16246e-05,1.59907,0.0836829
1576,1600,6.59669e-06,1.14479e-05,1.73539,0.0938401
