bin_lower_edge,SM_events,EFT_events
0,0,0
37.5,0,0
75,0,0
112.5,0.603018,0.776784
150,4.46006,4.74067
187.5,8.16919,8.05343
225,10.3196,10.7265
262.5,10.8998,10.6351
300,7.6003,8.22478
337.5,5.40441,5.94012
375,3.82291,4.00958
412.5,2.58274,3.15283
450,1.76354,2.31893
487.5,1.45635,1.79346
525,1.0695,1.49645
562.5,0.614396,1.38222
