bin_lower_edge,SM_events,EFT_events
0,12.2652,12.0059
10,157.593,159.001
20,545.982,545.68
30,1191.78,1195.32
40,1968.92,1971.99
50,1782.51,1786.17
60,1383.4,1388.6
70,1039.94,1035.78
80,764.946,766.892
90,569.522,570.651
100,424.764,421.68
110,319.224,320.344
120,239.933,242.3
130,190.474,188.69
140,143.166,143.648
150,643.272,674.534
