bin_lo_GeV,bin_hi_GeV,SM_dsig_pb_per_GeV,EFT_dsig_pb_per_GeV,ratio,ratio_stat
160,184,0.000661073,0.000657389,0.994427,0.00477704
184,208,0.000820041,0.000824546,1.00549,0.00432479
208,232,0.000755898,0.00075537,0.999301,0.00448375
232,256,0.000661066,0.000668789,1.01168,0.00483904
256,280,0.000573441,0.000579197,1.01004,0.00518927
280,304,0.000493874,0.000494801,1.00188,0.00555779
304,328,0.000425945,0.000422691,0.99236,0.00594198
328,352,0.000366693,0.000366602,0.999752,0.00643974
352,376,0.000314552,0.000317459,1.00924,0.00700243
376,400,0.000275874,0.000277049,1.00426,0.00744952
400,424,0.000240906,0.000240115,0.996719,0.00792698
424,448,0.000211329,0.000210875,0.997853,0.00847074
448,472,0.000186235,0.000186648,1.00221,0.00905292
472,496,0.000162444,0.000163482,1.00639,0.00972347
496,520,0.000144597,0.000143823,0.994652,0.0102159
520,544,0.000128301,0.000130277,1.0154,0.0110144
544,568,0.000114762,0.000115088,1.00283,0.0115377
568,592,0.000102541,0.000102573,1.00031,0.0121829
592,616,9.07287e-05,8.94464e-05,0.985866,0.0128116
616,640,8.17255e-05,8.0912e-05,0.990046,0.0135416
640,664,7.32675e-05,7.21867e-05,0.985248,0.0142501
664,688,6.53471e-05,6.42559e-05,0.983302,0.0150667
688,712,5.935e-05,5.84033e-05,0.98405,0.0158186
712,736,5.2785e-05,5.18784e-05,0.982825,0.0167579
736,760,4.69091e-05,4.66829e-05,0.99518,0.0179432
760,784,4.36758e-05,4.16708e-05,0.954095,0.0180201
784,808,3.94808e-05,3.82785e-05,0.969546,0.0191811
808,832,3.46044e-05,3.39693e-05,0.981646,0.0206785
832,856,3.08638e-05,3.06992e-05,0.994666,0.0221125
856,880,2.89708e-05,2.77042e-05,0.956279,0.0221633
880,904,2.52983e-05,2.61455e-05,1.03349,0.025136
904,928,2.35795e-05,2.32116e-05,0.984398,0.025103
928,952,2.1641e-05,2.02165e-05,0.934177,0.0252024
952,976,1.9589e-05,1.91392e-05,0.977041,0.0273877
976,1000,1.75975e-05,1.7275e-05,0.981671,0.028998
1000,1024,1.62345e-05,1.61213e-05,0.993023,0.0304512
1024,1048,1.43112e-05,1.4364e-05,1.00369,0.0326933
1048,1072,1.32511e-05,1.29887e-05,0.980195,0.0333794
1072,1096,1.22516e-05,1.23087e-05,1.00466,0.0353603
1096,1120,1.10401e-05,1.13307e-05,1.02633,0.0378515
1120,1144,9.79828e-06,1.02e-05,1.041,0.0406103
1144,1168,8.75333e-06,1.00624e-05,1.14955,0.0463308
1168,1192,8.50345e-06,8.77884e-06,1.03239,0.0433208
1192,1216,7.30706e-06,8.33569e-06,1.14077,0.0504121
1216,1240,6.70129e-06,7.98424e-06,1.19145,0.0544281
1240,1264,5.9138e-06,6.81525e-06,1.15243,0.0564749
1264,1288,5.54277e-06,5.9366e-06,1.07105,0.0551684
1288,1312,4.82342e-06,6.38739e-06,1.32425,0.0696461
1312,1336,4.6114e-06,5.76851e-06,1.25093,0.0681328
1336,1360,4.26308e-06,5.40177e-06,1.26711,0.0715732
1360,1384,3.6876e-06,4.79054e-06,1.29909,0.0784666
1384,1408,3.34686e-06,4.50021e-06,1.3446,0.0846165
1408,1432,2.95311e-06,4.12583e-06,1.39711,0.0928417
1432,1456,2.90768e-06,3.83549e-06,1.31909,0.089428
1456,1480,2.43064e-06,3.7438e-06,1.54026,0.110599
1480,1504,2.15047e-06,3.44583e-06,1.60236,0.121383
1504,1528,2.18833e-06,3.36178e-06,1.53623,0.116317
1528,1552,2.06718e-06,3.17077e-06,1.53386,0.11953
1552,1576,1.72643e-06,2.99504e-06,1.73481,0.14449
1576,1600,1.681e-06,3.11729e-06,1.85442,0.154658
