bin_lower_edge,SM_events,EFT_events
0,308.947,309.085
10,960.578,965.853
20,1314.58,1324.85
30,1236.9,1243.56
40,984.814,994.036
50,732.036,741.332
60,528.034,533.891
70,380.095,379.839
80,273.543,275.813
90,197.506,201.197
100,145.034,149.05
110,105.646,109.977
120,80.0739,83.7966
130,60.8854,65.5067
140,47.2807,50.9127
150,189.651,485.606
