bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
5,1.00045,0.00707629,308.947,309.085
15,1.00549,0.00402817,960.578,965.853
25,1.00781,0.00344926,1314.58,1324.85
35,1.00539,0.00354955,1236.9,1243.56
45,1.00936,0.0039897,984.814,994.036
55,1.0127,0.00463894,732.036,741.332
65,1.01109,0.00545557,528.034,533.891
75,0.999328,0.00637441,380.095,379.839
85,1.0083,0.0075642,273.543,275.813
95,1.01869,0.00897028,197.506,201.197
105,1.02769,0.0105369,145.034,149.05
115,1.041,0.0124653,105.646,109.977
125,1.04649,0.0143747,80.0739,83.7966
135,1.0759,0.0168318,60.8854,65.5067
145,1.07682,0.0191128,47.2807,50.9127
155,1.15771,0.023284,35.5549,41.1623
