bin_lower_edge,SM_events,EFT_events
0,609.345,611.435
10,1819.46,1825.62
20,2254.87,2264.3
30,1656.15,1677.28
40,634.283,632.827
50,257.878,266.15
60,125.529,133.783
70,69.4799,76.9745
80,40.1728,47.2167
90,24.8024,31.5385
100,15.9665,22.6112
110,10.4582,17.0553
120,7.58333,13.6522
130,5.28192,12.3859
140,3.56152,11.3254
150,10.7676,270.139
