bin_lo_GeV,bin_hi_GeV,SM_dsig_pb_per_GeV,EFT_dsig_pb_per_GeV,ratio,ratio_stat
160,200.667,0.00170008,0.00169328,0.996,0.00414776
200.667,241.333,0.00186628,0.00186557,0.999621,0.00396953
241.333,282,0.00156544,0.00157853,1.00836,0.00436254
282,322.667,0.00129284,0.00129106,0.99862,0.00476572
322.667,363.333,0.00106027,0.00106951,1.00871,0.00530227
363.333,404,0.000874408,0.000878772,1.00499,0.00582252
404,444.667,0.000730271,0.000729799,0.999354,0.00634451
444.667,485.333,0.000617062,0.000619773,1.00439,0.00692804
485.333,526,0.000532341,0.000525272,0.986721,0.00736064
526,566.667,0.00045532,0.000456845,1.00335,0.00805895
566.667,607.333,0.00039098,0.000396758,1.01478,0.00877094
607.333,648,0.000342286,0.000347604,1.01554,0.00937932
648,688.667,0.000300123,0.000300761,1.00212,0.00991722
688.667,729.333,0.000267646,0.00026531,0.991272,0.0104165
729.333,770,0.000235827,0.000232689,0.986695,0.0110587
770,810.667,0.000207557,0.000210379,1.01359,0.0120274
810.667,851.333,0.00018782,0.000186453,0.992724,0.0124482
851.333,892,0.000168638,0.000169091,1.00269,0.0132357
892,932.667,0.000151691,0.000149551,0.985894,0.0137803
932.667,973.333,0.000137198,0.000137996,1.00581,0.0147082
973.333,1014,0.000121259,0.000127107,1.04823,0.0161384
1014,1054.67,0.000113677,0.000111048,0.97688,0.0158098
1054.67,1095.33,0.000101697,0.000103078,1.01358,0.0171825
1095.33,1136,9.13094e-05,9.30785e-05,1.01937,0.0182112
1136,1176.67,8.47351e-05,8.41307e-05,0.992866,0.018535
1176.67,1217.33,7.61009e-05,7.82049e-05,1.02765,0.0200695
1217.33,1258,7.07831e-05,7.05163e-05,0.996231,0.020331
1258,1298.67,6.39166e-05,6.43535e-05,1.00684,0.0215654
1298.67,1339.33,5.93e-05,6.05462e-05,1.02102,0.0226252
1339.33,1380,5.53116e-05,5.46946e-05,0.988844,0.0228718
1380,1420.67,4.98769e-05,4.95392e-05,0.993229,0.0241654
1420.67,1461.33,4.54356e-05,4.46652e-05,0.983046,0.0251248
1461.33,1502,4.33172e-05,4.1895e-05,0.967167,0.0254215
1502,1542.67,3.96064e-05,3.7584e-05,0.948938,0.0262126
1542.67,1583.33,3.57641e-05,3.64137e-05,1.01816,0.0290726
1583.33,1624,3.21117e-05,3.25619e-05,1.01402,0.0305878
1624,1664.67,3.13374e-05,2.97916e-05,0.950674,0.0295087
1664.67,1705.33,3.01248e-05,2.86954e-05,0.95255,0.0301408
1705.33,1746,2.60195e-05,2.51696e-05,0.967334,0.0328048
1746,1786.67,2.40765e-05,2.30363e-05,0.956797,0.0338263
1786.67,1827.33,2.17682e-05,2.22067e-05,1.02015,0.0373191
1827.33,1868,2.01903e-05,2.05031e-05,1.01549,0.038617
1868,1908.67,1.84518e-05,1.89772e-05,1.02847,0.0407826
1908.67,1949.33,1.69032e-05,1.72735e-05,1.02191,0.0424054
1949.33,1990,1.58367e-05,1.71254e-05,1.08137,0.04572
1990,2030.67,1.58513e-05,1.50662e-05,0.950469,0.0414839
2030.67,2071.33,1.39375e-05,1.38662e-05,0.994888,0.0457713
2071.33,2112,1.28418e-05,1.32292e-05,1.03017,0.0489464
2112,2152.67,1.1936e-05,1.29329e-05,1.08353,0.0527429
2152.67,2193.33,1.07526e-05,1.24292e-05,1.15593,0.0583783
2193.33,2234,9.71532e-06,1.1333e-05,1.16651,0.0618462
2234,2274.67,9.54001e-06,1.0696e-05,1.12117,0.0605476
2274.67,2315.33,8.42969e-06,9.71821e-06,1.15286,0.0657986
2315.33,2356,8.37125e-06,9.49599e-06,1.13436,0.0652159
2356,2396.67,7.9914e-06,9.22934e-06,1.15491,0.067671
2396.67,2437.33,7.91835e-06,9.00712e-06,1.1375,0.0671968
2437.33,2478,6.32592e-06,7.62939e-06,1.20605,0.0786362
2478,2518.67,6.28209e-06,8.14789e-06,1.297,0.0834908
2518.67,2559.33,5.59544e-06,7.3331e-06,1.31055,0.0891864
2559.33,2600,5.75615e-06,7.71827e-06,1.34088,0.0895224
