bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
5,1.00721,0.00499797,922.675,929.331
15,0.998903,0.00288761,2730,2727
25,0.998238,0.0026016,3359.88,3353.96
35,1.00513,0.00305134,2467.79,2480.46
45,1.00302,0.00487694,962.997,965.909
55,1.00169,0.00751804,404.432,405.116
65,1.01182,0.0106884,203.137,205.539
75,1.00342,0.0140314,116.405,116.803
85,1.01763,0.0184495,68.7668,69.9791
95,1.02929,0.0235519,42.9281,44.1853
105,1.04619,0.0300203,27.0789,28.3298
115,1.09931,0.0376286,18.5798,20.4249
125,0.997066,0.0415266,13.164,13.1254
135,1.01717,0.0495015,9.54589,9.7098
145,1.07549,0.0608503,6.87213,7.39088
155,1.9632,0.0531639,23.4494,46.0359
