bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
5,1.00856,0.0435715,8.24734,8.31793
15,1.02531,0.0122938,106.174,108.861
25,1.00147,0.00645034,372.383,372.93
35,1.00472,0.00435659,820.275,824.148
45,1.00491,0.00340787,1340.94,1347.52
55,0.998059,0.00357096,1208.87,1206.53
65,1.0098,0.0041145,926.577,935.66
75,0.997029,0.0047246,689.532,687.484
85,1.00516,0.00557201,501.775,504.363
95,1.00291,0.0064922,368.384,369.455
105,1.01479,0.00761928,272.192,276.217
115,1.01324,0.00882095,202.622,205.305
125,1.02176,0.0102532,151.855,155.16
135,1.00476,0.0115539,116.632,117.187
145,1.01766,0.0132748,90.0492,91.6397
155,1.90609,0.0107307,369.093,703.526
