bin_lower_edge,SM_events,EFT_events
0,0,0
37.5,0,0
75,0,0
112.5,0,0
150,0,0
187.5,0,0
225,5.54602,11.08
262.5,10.7449,28.8476
300,5.78748,22.9198
337.5,3.47852,19.6433
375,2.03731,18.0525
412.5,1.32048,16.6754
450,0.807379,14.9185
487.5,0.505555,14.3407
525,0.316915,13.2644
562.5,0.233914,11.7765
