bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
18.75,1.02158,0.0388503,15.5988,15.9355
56.25,1.03222,0.041678,13.767,14.2106
93.75,1.14758,0.0500419,11.2184,12.8741
131.25,1.09388,0.0519904,9.65967,10.5666
168.75,1.18655,0.0732823,5.50681,6.53413
206.25,1.39571,0.122553,2.53723,3.54122
243.75,1.76486,0.195389,1.45635,2.57024
281.25,2.95824,0.457502,0.637151,1.88484
318.75,4.48457,0.905794,0.341331,1.53072
356.25,4.9744,1.16266,0.250309,1.24514
393.75,8.88161,2.59882,0.14791,1.31368
431.25,19.5782,8.19513,0.0682662,1.33653
468.75,39.8256,23.2814,0.0341331,1.35937
506.25,95.3807,95.8814,0.0113777,1.08521
543.75,92.3687,92.8694,0.0113777,1.05094
581.25,nan,nan,0,0.845324
