bin_lower_edge,SM_events,EFT_events
0,0,0
37.5,0,0
75,0,0
112.5,0.407462,0.427372
150,2.7466,2.92038
187.5,4.21799,5.62707
225,5.34983,7.98553
262.5,5.73466,8.82444
300,4.10481,8.84819
337.5,2.80696,9.05396
375,1.93167,9.56047
412.5,1.21484,10.249
450,0.852653,11.5074
487.5,0.596102,12.101
525,0.347098,12.4809
562.5,0.279187,12.9399
