bin_center,SM_dsig,EFT_dsig
18.75,4.15969e-06,4.24947e-06
56.25,3.6712e-06,3.78949e-06
93.75,2.99158e-06,3.43308e-06
131.25,2.57591e-06,2.81775e-06
168.75,1.46848e-06,1.74243e-06
206.25,6.76594e-07,9.44326e-07
243.75,3.88359e-07,6.85398e-07
281.25,1.69907e-07,5.02625e-07
318.75,9.10216e-08,4.08193e-07
356.25,6.67492e-08,3.32037e-07
393.75,3.94427e-08,3.50315e-07
431.25,1.82043e-08,3.56407e-07
468.75,9.10216e-09,3.62499e-07
506.25,3.03405e-09,2.8939e-07
543.75,3.03405e-09,2.80252e-07
581.25,0,2.2542e-07
