bin_lower_edge,SM_events,EFT_events
0,0,0
37.5,0,0
75,0,0
112.5,0,0
150,0,0
187.5,0,0
225,9.78482,10.4295
262.5,19.8655,20.5391
300,11.0477,13.2625
337.5,6.71284,7.64219
375,4.26664,5.55172
412.5,2.57136,3.47268
450,1.94559,2.77586
487.5,1.38808,2.09046
525,1.04675,1.80488
562.5,0.716795,1.55357
