bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
5,0.978861,0.0424325,12.2652,12.0059
15,1.00894,0.012109,157.593,159.001
25,0.999447,0.00645963,545.982,545.68
35,1.00297,0.00438375,1191.78,1195.32
45,1.00156,0.00340698,1968.92,1971.99
55,1.00205,0.00358203,1782.51,1786.17
65,1.00376,0.00407122,1383.4,1388.6
75,0.996,0.0046684,1039.94,1035.78
85,1.00254,0.00547002,764.946,766.892
95,1.00198,0.00633675,569.522,570.651
105,0.99274,0.00728673,424.764,421.68
115,1.00351,0.00847362,319.224,320.344
125,1.00986,0.00982041,239.933,242.3
135,0.990634,0.0108642,190.474,188.69
145,1.00337,0.0126518,143.166,143.648
155,1.0486,0.00617003,643.272,674.534
