# W [GeV]    S_gg [GeV^-1]
1.000000e+01    1.801182e-03
1.015366e+01    1.763960e-03
1.030968e+01    1.723972e-03
1.062894e+01    1.651446e-03
1.079226e+01    1.616502e-03
1.095810e+01    1.580796e-03
1.129744e+01    1.513788e-03
1.147104e+01    1.480032e-03
1.182627e+01    1.417001e-03
1.200799e+01    1.387499e-03
1.219250e+01    1.354504e-03
1.237985e+01    1.326121e-03
1.276322e+01    1.269683e-03
1.295934e+01    1.240903e-03
1.315847e+01    1.212995e-03
1.336066e+01    1.187343e-03
1.356595e+01    1.160154e-03
1.377440e+01    1.134467e-03
1.398606e+01    1.110204e-03
1.420097e+01    1.085204e-03
1.441917e+01    1.061218e-03
1.464074e+01    1.037585e-03
1.486570e+01    1.014386e-03
1.509413e+01    9.927727e-04
1.580067e+01    9.275868e-04
1.604346e+01    9.068699e-04
1.628998e+01    8.865425e-04
1.654029e+01    8.670442e-04
1.679444e+01    8.471096e-04
1.705250e+01    8.285198e-04
1.731453e+01    8.096013e-04
1.758058e+01    7.908789e-04
1.785072e+01    7.737084e-04
1.812501e+01    7.558277e-04
1.897342e+01    7.055404e-04
1.926496e+01    6.898993e-04
1.956099e+01    6.739718e-04
1.986155e+01    6.581069e-04
2.016674e+01    6.430343e-04
2.047662e+01    6.286089e-04
2.111073e+01    6.004287e-04
2.143512e+01    5.869491e-04
2.176448e+01    5.734324e-04
2.209891e+01    5.603135e-04
2.243848e+01    5.473257e-04
2.278326e+01    5.343962e-04
2.313334e+01    5.221344e-04
2.348881e+01    5.097401e-04
2.384973e+01    4.978868e-04
2.421620e+01    4.868719e-04
2.458830e+01    4.753044e-04
2.496612e+01    4.643129e-04
2.534974e+01    4.535638e-04
2.573926e+01    4.429419e-04
2.613476e+01    4.326302e-04
2.653634e+01    4.225046e-04
2.694409e+01    4.127368e-04
2.735811e+01    4.033154e-04
2.777849e+01    3.932179e-04
2.820533e+01    3.843969e-04
2.863872e+01    3.753803e-04
2.907878e+01    3.664111e-04
2.952560e+01    3.579520e-04
2.997928e+01    3.493037e-04
