# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
1.61000000e+02	3.71912868e-02	1.66568479e-01	5.03050937e-01
1.61580467e+02	3.71507190e-02	1.66467943e-01	5.02822463e-01
1.62163028e+02	3.71100049e-02	1.66367045e-01	5.02593165e-01
1.62747688e+02	3.70691440e-02	1.66265783e-01	5.02363040e-01
1.63334457e+02	3.69860735e-02	1.66058830e-01	5.01891781e-01
1.63923341e+02	3.68879304e-02	1.65814137e-01	5.01334423e-01
1.64514348e+02	3.67894335e-02	1.65568561e-01	5.00775055e-01
1.65107486e+02	3.66905815e-02	1.65322101e-01	5.00213670e-01
1.65702763e+02	3.65783616e-02	1.65040741e-01	4.99571534e-01
1.66300186e+02	3.64528723e-02	1.64724741e-01	4.98849243e-01
1.66899762e+02	3.63269307e-02	1.64407601e-01	4.98124348e-01
1.67501501e+02	3.62005350e-02	1.64089318e-01	4.97396839e-01
1.68105409e+02	3.60692553e-02	1.63757727e-01	4.96638027e-01
1.68711494e+02	3.59252772e-02	1.63391370e-01	4.95797301e-01
1.69319764e+02	3.57807800e-02	1.63023692e-01	4.94953543e-01
1.69930228e+02	3.56357618e-02	1.62654688e-01	4.94106744e-01
1.70542892e+02	3.54898903e-02	1.62283386e-01	4.93254555e-01
1.71157765e+02	3.53324677e-02	1.61878452e-01	4.92321352e-01
1.71774855e+02	3.51744776e-02	1.61472058e-01	4.91384784e-01
1.72394170e+02	3.50159179e-02	1.61064198e-01	4.90444839e-01
1.73015718e+02	3.48567865e-02	1.60654868e-01	4.89501506e-01
1.73639507e+02	3.46908947e-02	1.60224463e-01	4.88506066e-01
1.74265545e+02	3.45227768e-02	1.59787349e-01	4.87494221e-01
1.74893840e+02	3.43540528e-02	1.59348659e-01	4.86478727e-01
1.75524400e+02	3.41847205e-02	1.58908387e-01	4.85459572e-01
1.76157233e+02	3.40118848e-02	1.58456175e-01	4.84410215e-01
1.76792349e+02	3.38361013e-02	1.57994014e-01	4.83335757e-01
1.77429754e+02	3.36596841e-02	1.57530187e-01	4.82257425e-01
1.78069457e+02	3.34826308e-02	1.57064687e-01	4.81175205e-01
1.78711466e+02	3.33039162e-02	1.56593132e-01	4.80077436e-01
1.79355790e+02	3.31223570e-02	1.56110464e-01	4.78950659e-01
1.80002437e+02	3.29401433e-02	1.55626056e-01	4.77819820e-01
1.80651416e+02	3.27572726e-02	1.55139901e-01	4.76684903e-01
1.81302735e+02	3.25736116e-02	1.54651195e-01	4.75543614e-01
1.81956401e+02	3.23877941e-02	1.54151618e-01	4.74372166e-01
1.82612425e+02	3.22013067e-02	1.53650240e-01	4.73196495e-01
1.83270813e+02	3.20141469e-02	1.53147054e-01	4.72016585e-01
1.83931576e+02	3.18263123e-02	1.52642054e-01	4.70832422e-01
1.84594720e+02	3.16399502e-02	1.52129392e-01	4.69625885e-01
1.85260256e+02	3.14533153e-02	1.51613797e-01	4.68411637e-01
1.85928191e+02	3.12660076e-02	1.51096344e-01	4.67193011e-01
1.86598534e+02	3.10780245e-02	1.50577025e-01	4.65969992e-01
1.87271294e+02	3.08893637e-02	1.50053359e-01	4.64733433e-01
1.87946480e+02	3.07000227e-02	1.49526196e-01	4.63486484e-01
1.88624100e+02	3.05099990e-02	1.48997134e-01	4.62235040e-01
1.89304163e+02	3.03192903e-02	1.48466164e-01	4.60979084e-01
1.89986678e+02	3.01278939e-02	1.47932615e-01	4.59714934e-01
1.90671654e+02	2.99358075e-02	1.47396009e-01	4.58439961e-01
1.91359099e+02	2.97430285e-02	1.46857467e-01	4.57160392e-01
1.92049023e+02	2.95495545e-02	1.46316984e-01	4.55876209e-01
1.92741434e+02	2.93553830e-02	1.45774568e-01	4.54586681e-01
1.93436342e+02	2.91605114e-02	1.45230293e-01	4.53287806e-01
1.94133755e+02	2.89649372e-02	1.44684057e-01	4.51984249e-01
1.94833682e+02	2.87686579e-02	1.44135851e-01	4.50675991e-01
1.95536133e+02	2.85716709e-02	1.43585668e-01	4.49363017e-01
1.96241117e+02	2.83782916e-02	1.43035168e-01	4.48043814e-01
1.96948642e+02	2.81847216e-02	1.42482878e-01	4.46719679e-01
1.97658718e+02	2.79904536e-02	1.41928597e-01	4.45390770e-01
1.98371355e+02	2.77954853e-02	1.41372318e-01	4.44057069e-01
1.99086560e+02	2.76021578e-02	1.40816123e-01	4.42719559e-01
1.99804345e+02	2.74093525e-02	1.40259010e-01	4.41377745e-01
2.00524717e+02	2.72158521e-02	1.39699889e-01	4.40031094e-01
2.01247686e+02	2.70216540e-02	1.39138751e-01	4.38679588e-01
2.01973262e+02	2.68284201e-02	1.38577471e-01	4.37325149e-01
2.02701454e+02	2.66367818e-02	1.38016756e-01	4.35968502e-01
2.03432272e+02	2.64444526e-02	1.37454019e-01	4.34606962e-01
2.04165724e+02	2.62514299e-02	1.36889253e-01	4.33240514e-01
2.04901821e+02	2.60585119e-02	1.36323475e-01	4.31870489e-01
